index,samples
0,371
1,650
2,686
3,38
4,58
5,420
6,592
7,704
8,520
9,20
10,126
11,485
12,182
13,114
14,67
15,233
16,177
17,263
18,405
19,547
20,186
21,383
22,676
23,211
24,0
25,613
26,166
27,479
28,393
29,373
30,332
31,53
32,619
33,55
34,256
35,614
36,102
37,626
38,498
39,474
40,430
41,546
42,258
43,491
44,588
45,452
46,70
47,515
48,220
49,450
50,273
51,284
52,678
53,541
54,113
55,110
56,291
57,353
58,379
59,237
60,2
61,118
62,593
63,523
64,633
65,423
66,395
67,99
68,19
69,493
70,134
71,319
72,464
73,278
74,250
75,561
76,280
77,201
78,147
79,465
80,429
81,226
82,115
83,252
84,590
85,3
86,287
87,254
88,467
89,8
90,276
91,656
92,524
93,54
94,50
95,384
96,338
97,716
98,560
99,439
100,101
101,640
102,202
103,188
104,268
105,266
106,215
107,543
108,411
109,666
110,145
111,651
112,572
113,657
114,712
115,634
116,376
117,292
118,377
119,39
120,248
121,323
122,229
123,432
124,189
125,349
126,309
127,444
128,249
129,607
130,49
131,259
132,293
133,708
134,558
135,598
136,198
137,238
138,81
139,243
140,277
141,173
142,655
143,544
144,275
145,484
146,308
147,608
148,175
149,117
150,100
151,501
152,652
153,197
154,398
155,63
156,386
157,522
158,32
159,372
160,143
161,375
162,111
163,711
164,171
165,27
166,532
167,609
168,313
169,596
170,611
171,12
172,79
173,502
174,159
175,221
176,641
177,74
178,448
179,48
180,483
181,462
182,412
183,205
184,217
185,84
186,624
187,509
188,638
189,200
190,239
191,548
192,223
193,286
194,584
195,610
196,260
197,317
198,44
199,36
200,281
201,318
202,328
203,85
204,271
205,255
206,671
207,236
208,104
209,408
210,675
211,364
212,442
213,681
214,296
215,647
216,22
217,57
218,30
219,392
220,691
221,390
222,21
223,525
224,264
225,331
226,178
227,645
228,557
229,167
230,578
231,487
232,183
233,649
234,533
235,583
236,47
237,112
238,219
239,550
240,577
241,144
242,244
243,402
244,490
245,329
246,336
247,120
248,176
249,163
250,605
251,516
252,11
253,241
254,597
255,246
256,300
257,658
258,699
259,665
260,209
261,637
262,470
263,191
264,93
265,180
266,320
267,56
268,573
269,400
270,96
271,670
272,133
273,503
274,359
275,152
276,83
277,562
278,604
279,315
280,138
281,707
282,521
283,282
284,150
285,235
286,422
287,148
288,125
289,196
290,164
291,61
292,478
293,575
294,594
295,549
296,473
297,192
298,299
299,668
300,397
301,311
302,290
303,540
304,295
305,617
306,567
307,418
308,488
309,433
310,663
311,131
312,43
313,692
314,121
315,367
316,35
317,441
318,554
319,365
320,499
321,535
322,139
323,33
324,685
325,193
326,460
327,146
328,409
329,334
330,257
331,289
332,216
333,316
334,179
335,492
336,505
337,401
338,563
339,696
340,396
341,141
342,682
343,119
344,551
345,91
346,555
347,230
348,297
349,654
350,160
351,480
352,13
353,571
354,618
355,587
356,261
357,531
358,283
359,388
360,326
361,369
362,457
363,212
364,301
365,269
366,715
367,358
368,10
369,363
370,445
371,589
372,156
373,107
374,667
375,157
376,620
377,391
378,124
379,314
380,333
381,630
382,526
383,306
384,272
385,66
386,642
387,294
388,394
389,694
390,576
391,539
392,37
393,82
394,130
395,340
396,635
397,127
398,15
399,303
400,227
401,436
402,622
403,253
404,378
405,680
406,335
407,648
408,350
409,341
410,18
411,456
412,413
413,105
414,298
415,664
416,95
417,659
418,76
419,103
420,199
421,566
422,497
423,476
424,438
425,527
426,195
427,552
428,59
429,698
430,690
431,361
432,504
433,631
434,187
435,153
436,471
437,646
438,73
439,419
440,447
441,697
442,207
443,274
444,689
445,80
446,385
447,494
448,469
449,265
450,632
451,389
452,218
453,368
454,458
455,242
456,709
457,603
458,453
459,661
460,208
461,71
462,534
463,407
464,569
465,600
466,128
467,434
468,537
469,357
470,482
471,662
472,46
473,538
474,565
475,454
476,154
477,94
478,302
479,428
480,530
481,426
482,582
483,545
484,169
485,62
486,322
487,536
488,449
489,672
490,688
491,135
492,304
493,123
494,701
495,475
496,568
497,579
498,69
499,437
500,700
501,410
502,506
503,210
504,414
505,64
506,406
507,16
508,416
509,477
510,14
511,677
512,446
513,602
514,356
515,172
516,636
517,285
518,616
519,713
520,653
521,151
522,6
523,240
524,4
525,305
526,140
527,702
528,629
529,26
530,466
531,65
532,424
533,247
534,542
535,643
536,366
537,330
538,580
539,321
540,459
541,351
542,324
543,519
544,513
545,109
546,472
547,415
548,669
549,514
550,155
551,344
552,185
553,559
554,528
555,556
556,224
557,251
558,343
559,174
560,136
561,262
562,52
563,601
564,639
565,312
566,508
567,23
568,529
569,687
570,77
571,68
572,599
573,451
574,75
575,17
576,190
577,51
578,45
579,586
580,705
581,92
582,591
583,41
584,279
585,627
586,683
587,232
588,162
589,684
590,142
591,518
592,214
593,679
594,496
595,267
596,570
597,387
598,347
599,427
600,606
601,228
602,108
603,149
604,194
605,161
606,564
607,270
608,706
609,381
610,342
611,703
