index,samples
0,371
1,650
2,702
3,265
4,109
5,662
6,415
7,453
8,583
9,353
10,407
11,231
12,386
13,139
14,545
15,119
16,55
17,317
18,300
19,188
20,365
21,463
22,517
23,591
24,63
25,151
26,669
27,302
28,351
29,644
30,361
31,459
32,94
33,198
34,252
35,269
36,597
37,253
38,37
39,544
40,221
41,345
42,663
43,489
44,715
45,403
46,89
47,88
48,303
49,484
50,1
51,232
52,29
53,450
54,697
55,571
56,487
57,607
58,606
59,581
60,162
61,107
62,223
63,610
64,325
65,342
66,196
67,316
68,99
69,173
70,624
71,664
72,0
73,499
74,175
75,485
76,716
77,505
78,245
79,270
80,568
81,691
82,614
83,671
84,181
85,495
86,39
87,355
88,574
89,535
90,467
91,177
92,327
93,350
94,617
95,375
96,312
97,358
98,626
99,299
100,129
101,699
102,449
103,114
104,152
105,313
106,24
107,381
108,652
109,98
110,348
111,333
112,236
113,678
114,189
115,542
116,3
117,393
118,246
119,611
120,251
121,711
122,446
123,621
124,529
125,558
126,379
127,53
128,377
129,172
130,339
131,457
132,502
133,83
134,636
135,455
136,561
137,672
138,167
139,553
140,637
141,443
142,640
143,430
144,110
145,533
146,64
147,366
148,414
149,228
150,598
151,609
152,230
153,207
154,704
155,143
156,30
157,281
158,13
159,197
160,296
161,714
162,460
163,73
164,56
165,701
166,491
167,306
168,514
169,146
170,215
171,490
172,280
173,465
174,683
175,488
176,425
177,413
178,247
179,250
180,155
181,20
182,363
183,456
184,158
185,106
186,66
187,569
188,21
189,380
190,592
191,629
192,203
193,564
194,349
195,713
196,399
197,335
198,72
199,483
200,627
201,594
202,226
203,337
204,320
205,338
206,593
207,518
208,588
209,76
210,8
211,409
212,570
213,680
214,298
215,440
216,682
217,257
218,555
219,411
220,178
221,18
222,140
223,540
224,438
225,383
226,493
227,229
228,418
229,346
230,673
231,481
232,562
233,573
234,46
235,536
236,639
237,416
238,546
239,307
240,161
241,387
242,397
243,408
244,547
245,712
246,616
247,675
248,354
249,632
250,703
251,213
252,113
253,235
254,120
255,692
256,698
257,595
258,258
259,288
260,240
261,549
262,469
263,47
264,41
265,326
266,557
267,554
268,541
269,277
270,309
271,580
272,87
273,266
274,150
275,329
276,587
277,531
278,466
279,79
280,138
281,118
282,22
283,472
284,141
285,458
286,508
287,394
288,447
289,293
290,9
291,512
292,451
293,504
294,576
295,208
296,526
297,69
298,295
299,278
300,563
301,503
302,328
303,655
304,220
305,476
306,318
307,7
308,367
309,319
310,600
311,179
312,474
313,398
314,65
315,372
316,315
317,291
318,100
319,217
320,38
321,285
322,195
323,156
324,92
325,435
326,44
327,68
328,406
329,412
330,507
331,32
332,242
333,206
334,263
335,539
336,91
337,359
338,255
339,4
340,423
341,385
342,216
343,48
344,311
345,26
346,84
347,422
348,130
349,384
350,42
351,471
352,686
353,368
354,176
355,373
356,420
357,214
358,395
359,219
360,660
361,116
362,694
363,530
364,376
365,334
366,191
367,238
368,128
369,374
370,548
371,552
372,622
373,142
374,462
375,222
376,405
377,559
378,654
379,688
380,54
381,136
382,707
383,233
384,360
385,289
386,589
387,184
388,630
389,43
390,424
391,283
392,12
393,70
394,95
395,370
396,590
397,585
398,419
399,124
400,194
401,294
402,36
403,442
404,301
405,153
406,641
407,523
408,262
409,71
410,137
411,648
412,103
413,180
414,513
415,498
416,565
417,331
418,667
419,163
420,35
421,344
422,515
423,445
424,596
425,164
426,401
427,480
428,23
429,17
430,282
431,642
432,14
433,343
434,121
435,475
436,148
437,34
438,619
439,135
440,657
441,112
442,572
443,78
444,52
445,500
446,604
447,275
448,16
449,108
450,396
451,171
452,527
453,510
454,183
455,27
456,524
457,575
458,687
459,234
460,444
461,154
462,243
463,362
464,125
465,674
466,185
467,40
468,80
469,224
470,57
471,690
472,389
473,15
474,494
475,578
476,628
477,147
478,11
479,31
480,122
481,336
482,131
483,706
484,677
485,341
486,104
487,123
488,534
489,556
490,193
491,601
492,62
493,509
494,681
495,304
496,478
497,352
498,506
499,284
500,521
501,67
502,322
503,612
504,134
505,464
506,182
507,204
508,186
509,649
510,602
511,643
512,656
513,132
514,608
515,710
516,157
517,332
518,520
519,192
520,210
521,668
522,321
523,693
524,75
525,50
526,708
527,599
528,187
529,528
530,695
531,212
532,482
533,105
534,310
535,615
536,49
537,434
538,670
539,225
540,696
541,417
542,356
543,519
544,58
545,209
546,645
547,127
548,625
549,19
550,218
551,97
552,577
553,433
554,369
555,324
556,705
557,388
558,297
559,33
560,77
561,647
562,665
563,59
564,126
565,170
566,5
567,174
568,145
569,279
570,448
571,501
572,684
573,567
574,603
575,613
576,314
577,273
578,308
579,267
580,115
581,85
582,340
583,538
584,259
585,439
586,357
587,436
588,45
589,211
590,239
591,2
592,391
593,111
594,305
595,410
596,256
597,679
598,537
599,618
600,689
601,634
602,61
603,676
604,653
605,709
606,651
607,633
608,254
609,378
610,511
611,25
