index,samples
0,19
1,354
2,673
3,427
4,230
5,400
6,340
7,200
8,459
9,432
10,352
11,270
12,417
13,692
14,578
15,506
16,322
17,532
18,276
19,493
20,250
21,90
22,635
23,137
24,265
25,655
26,146
27,45
28,700
29,358
30,268
31,7
32,87
33,514
34,376
35,216
36,364
37,522
38,203
39,361
40,651
41,705
42,483
43,242
44,395
45,166
46,15
47,282
48,12
49,645
50,234
51,511
52,6
53,541
54,456
55,14
56,37
57,559
58,275
59,116
60,263
61,390
62,480
63,474
64,310
65,447
66,444
67,595
68,217
69,72
70,93
71,704
72,524
73,108
74,132
75,267
76,551
77,271
78,207
79,79
80,699
81,696
82,527
83,201
84,253
85,178
86,580
87,510
88,688
89,333
90,571
91,103
92,644
93,342
94,694
95,567
96,424
97,552
98,246
99,339
100,22
101,372
102,68
103,309
104,550
105,295
106,159
107,398
108,679
109,27
110,540
111,315
112,652
113,77
114,98
115,443
116,124
117,430
118,542
119,334
120,57
121,604
122,304
123,236
124,287
125,599
126,639
127,563
128,433
129,590
130,494
131,123
132,317
133,710
134,709
135,620
136,8
137,105
138,344
139,243
140,128
141,368
142,587
143,308
144,594
145,365
146,575
147,628
148,693
149,254
150,296
151,127
152,59
153,30
154,683
155,293
156,585
157,565
158,676
159,113
160,115
161,529
162,204
163,161
164,534
165,13
166,97
167,616
168,261
169,713
170,464
171,686
172,245
173,272
174,610
175,321
176,654
177,678
178,144
179,155
180,2
181,475
182,607
183,58
184,468
185,294
186,257
187,381
188,173
189,138
190,583
191,569
192,67
193,553
194,362
195,206
196,402
197,301
198,546
199,145
200,262
201,338
202,185
203,528
204,259
205,32
206,399
207,269
208,416
209,564
210,153
211,453
212,618
213,435
214,367
215,557
216,653
217,614
218,576
219,451
220,518
221,69
222,277
223,519
224,176
225,555
226,225
227,150
228,130
229,414
230,239
231,389
232,297
233,502
234,500
235,65
236,712
237,319
238,81
239,521
240,458
241,313
242,353
243,646
244,298
245,716
246,24
247,283
248,597
249,163
250,504
251,706
252,88
253,577
254,356
255,405
256,697
257,273
258,120
259,167
260,199
261,219
262,359
263,633
264,462
265,476
266,292
267,345
268,473
269,300
270,442
271,605
272,169
273,363
274,667
275,187
276,463
277,523
278,126
279,648
280,164
281,91
282,49
283,174
284,75
285,214
286,411
287,329
288,622
289,9
290,469
291,386
292,182
293,224
294,366
295,346
296,220
297,281
298,237
299,195
300,288
301,698
302,572
303,465
304,407
305,23
306,425
307,406
308,691
309,46
310,85
311,156
312,238
313,450
314,29
315,60
316,244
317,485
318,602
319,149
320,314
321,196
322,488
323,418
324,140
325,370
326,303
327,477
328,47
329,589
330,482
331,110
332,215
333,42
334,86
335,487
336,94
337,302
338,383
339,481
340,179
341,18
342,543
343,490
344,229
345,382
346,73
347,606
348,63
349,715
350,554
351,612
352,637
353,507
354,677
355,326
356,186
357,107
358,278
359,588
360,299
361,682
362,151
363,472
364,520
365,183
366,231
367,396
368,598
369,20
370,505
371,629
372,306
373,111
374,34
375,649
376,674
377,558
378,621
379,177
380,446
381,379
382,711
383,420
384,50
385,286
386,470
387,332
388,671
389,538
390,136
391,549
392,661
393,320
394,491
395,232
396,162
397,630
398,664
399,440
400,627
401,252
402,109
403,154
404,650
405,423
406,517
407,657
408,311
409,55
410,512
411,596
412,404
413,515
414,228
415,503
416,409
417,496
418,106
419,350
420,385
421,640
422,258
423,662
424,375
425,392
426,454
427,227
428,613
429,681
430,638
431,160
432,537
433,461
434,44
435,119
436,235
437,714
438,25
439,223
440,460
441,413
442,147
443,318
444,647
445,125
446,431
447,31
448,373
449,102
450,544
451,349
452,41
453,397
454,624
455,4
456,670
457,533
458,387
459,703
460,141
461,526
462,394
463,579
464,171
465,666
466,280
467,328
468,632
469,118
470,188
471,38
472,497
473,168
474,591
475,324
476,158
477,54
478,226
479,573
480,99
481,92
482,52
483,194
484,35
485,80
486,71
487,131
488,10
489,142
490,593
491,561
492,202
493,122
494,455
495,484
496,197
497,617
498,36
499,636
500,498
501,76
502,336
503,626
504,615
505,535
506,133
507,478
508,21
509,191
510,562
511,100
512,61
513,582
514,264
515,684
516,441
517,452
518,240
519,66
520,335
521,412
522,198
523,152
524,669
525,536
526,139
527,221
528,291
529,508
530,274
531,665
532,184
533,249
534,193
535,78
536,584
537,608
538,134
539,331
540,708
541,391
542,525
543,11
544,436
545,357
546,284
547,95
548,378
549,439
550,401
551,642
552,117
553,625
554,290
555,33
556,393
557,445
558,241
559,157
560,539
561,348
562,101
563,668
564,189
565,260
566,255
567,170
568,3
569,251
570,56
571,560
572,48
573,660
574,641
575,509
576,279
577,289
578,305
579,707
580,449
581,568
582,434
583,360
584,180
585,312
586,369
587,343
588,374
589,685
590,643
591,211
592,623
593,634
594,695
595,5
596,28
597,388
598,457
599,83
600,408
601,172
602,377
603,566
604,64
605,489
606,337
607,609
608,213
609,26
610,62
611,530
