index,samples
0,430
1,710
2,309
3,559
4,133
5,292
6,625
7,596
8,472
9,175
10,646
11,40
12,2
13,83
14,503
15,344
16,583
17,185
18,689
19,610
20,451
21,616
22,383
23,32
24,633
25,346
26,592
27,359
28,35
29,310
30,669
31,278
32,31
33,349
34,697
35,466
36,162
37,615
38,429
39,304
40,29
41,343
42,50
43,271
44,443
45,375
46,202
47,322
48,533
49,388
50,181
51,78
52,173
53,705
54,706
55,60
56,450
57,339
58,363
59,557
60,135
61,624
62,640
63,414
64,586
65,485
66,434
67,566
68,151
69,690
70,190
71,639
72,605
73,283
74,234
75,667
76,582
77,395
78,541
79,182
80,670
81,147
82,636
83,239
84,492
85,389
86,332
87,516
88,57
89,523
90,595
91,306
92,415
93,64
94,712
95,656
96,360
97,525
98,184
99,661
100,476
101,59
102,380
103,131
104,80
105,4
106,634
107,546
108,544
109,258
110,165
111,455
112,681
113,561
114,474
115,308
116,440
117,587
118,114
119,52
120,694
121,448
122,264
123,311
124,641
125,668
126,495
127,462
128,176
129,352
130,497
131,225
132,638
133,21
134,428
135,567
136,552
137,68
138,141
139,682
140,48
141,484
142,406
143,265
144,528
145,416
146,11
147,212
148,604
149,660
150,243
151,272
152,386
153,197
154,569
155,171
156,648
157,628
158,284
159,127
160,100
161,365
162,585
163,276
164,319
165,543
166,658
167,67
168,290
169,709
170,433
171,431
172,312
173,187
174,356
175,635
176,198
177,104
178,85
179,425
180,43
181,191
182,223
183,226
184,180
185,420
186,168
187,12
188,453
189,618
190,715
191,218
192,342
193,273
194,417
195,42
196,70
197,514
198,379
199,464
200,662
201,139
202,34
203,672
204,72
205,355
206,351
207,204
208,644
209,110
210,335
211,695
212,117
213,573
214,66
215,281
216,232
217,536
218,119
219,526
220,249
221,295
222,148
223,471
224,593
225,321
226,565
227,377
228,594
229,315
230,93
231,134
232,89
233,371
234,287
235,576
236,170
237,215
238,530
239,691
240,189
241,250
242,665
243,575
244,554
245,120
246,216
247,538
248,551
249,627
250,548
251,387
252,193
253,115
254,199
255,333
256,581
257,397
258,153
259,107
260,427
261,513
262,275
263,307
264,195
265,161
266,146
267,348
268,354
269,330
270,512
271,435
272,489
273,482
274,509
275,242
276,599
277,459
278,654
279,90
280,623
281,95
282,477
283,155
284,293
285,224
286,256
287,563
288,183
289,473
290,188
291,366
292,296
293,248
294,255
295,520
296,116
297,467
298,469
299,203
300,121
301,210
302,9
303,51
304,457
305,350
306,257
307,338
308,150
309,84
310,655
311,38
312,22
313,368
314,206
315,96
316,568
317,619
318,164
319,305
320,542
321,584
322,229
323,19
324,468
325,577
326,454
327,481
328,382
329,677
330,384
331,626
332,196
333,708
334,158
335,606
336,381
337,268
338,221
339,376
340,411
341,157
342,402
343,14
344,58
345,491
346,456
347,591
348,20
349,140
350,269
351,125
352,289
353,329
354,479
355,504
356,374
357,6
358,600
359,274
360,209
361,692
362,24
363,337
364,237
365,26
366,364
367,684
368,418
369,302
370,488
371,167
372,413
373,81
374,494
375,713
376,588
377,390
378,602
379,630
380,65
381,407
382,372
383,1
384,74
385,369
386,192
387,102
388,401
389,37
390,228
391,506
392,132
393,535
394,30
395,571
396,686
397,69
398,152
399,531
400,403
401,597
402,522
403,169
404,441
405,267
406,404
407,103
408,262
409,478
410,211
411,179
412,598
413,23
414,452
415,449
416,537
417,367
418,532
419,396
420,240
421,378
422,300
423,398
424,687
425,601
426,399
427,15
428,432
429,701
430,702
431,447
432,334
433,144
434,589
435,126
436,56
437,143
438,424
439,507
440,673
441,517
442,260
443,124
444,714
445,231
446,163
447,247
448,106
449,325
450,91
451,442
452,270
453,501
454,261
455,174
456,208
457,3
458,361
459,511
460,213
461,653
462,650
463,41
464,314
465,318
466,659
467,651
468,502
469,109
470,620
471,108
472,317
473,201
474,439
475,529
476,412
477,298
478,696
479,698
480,645
481,392
482,313
483,323
484,357
485,500
486,227
487,422
488,46
489,138
490,490
491,259
492,53
493,703
494,331
495,142
496,549
497,486
498,62
499,385
500,200
501,553
502,207
503,112
504,556
505,496
506,547
507,105
508,122
509,362
510,0
511,475
512,177
513,63
514,39
515,657
516,17
517,521
518,632
519,579
520,487
521,617
522,480
523,280
524,217
525,560
526,154
527,159
528,574
529,685
530,524
531,291
532,711
533,282
534,205
535,129
536,320
537,426
538,562
539,8
540,92
541,288
542,527
543,101
544,545
545,421
546,611
547,252
548,345
549,54
550,220
551,219
552,244
553,301
554,7
555,236
556,614
557,603
558,253
559,570
560,235
561,629
562,622
563,97
564,612
565,460
566,303
567,160
568,136
569,327
570,5
571,297
572,391
573,674
574,285
575,27
576,393
577,609
578,16
579,263
580,693
581,590
582,341
583,621
584,324
585,465
586,94
587,113
588,172
589,44
590,233
591,336
592,663
593,539
594,423
595,405
596,347
597,99
598,45
599,400
600,436
601,25
602,10
603,519
604,61
605,71
606,688
607,13
608,33
609,716
610,353
611,214
