index,samples
0,75
1,51
2,506
3,446
4,294
5,460
6,8
7,137
8,675
9,461
10,649
11,483
12,255
13,129
14,391
15,94
16,106
17,481
18,693
19,156
20,145
21,256
22,79
23,699
24,470
25,696
26,609
27,423
28,411
29,358
30,9
31,252
32,230
33,629
34,520
35,194
36,512
37,89
38,77
39,695
40,704
41,416
42,566
43,220
44,564
45,257
46,153
47,486
48,501
49,468
50,547
51,488
52,631
53,325
54,620
55,445
56,320
57,617
58,437
59,337
60,226
61,287
62,270
63,438
64,313
65,385
66,521
67,87
68,108
69,326
70,499
71,420
72,107
73,3
74,517
75,128
76,494
77,36
78,714
79,653
80,618
81,169
82,551
83,658
84,22
85,550
86,575
87,274
88,353
89,627
90,394
91,603
92,713
93,217
94,677
95,529
96,511
97,433
98,427
99,319
100,239
101,138
102,307
103,295
104,250
105,568
106,403
107,549
108,663
109,82
110,299
111,243
112,650
113,172
114,542
115,647
116,10
117,235
118,231
119,62
120,125
121,210
122,480
123,17
124,58
125,302
126,469
127,63
128,458
129,553
130,154
131,479
132,628
133,401
134,528
135,716
136,213
137,456
138,382
139,90
140,55
141,397
142,335
143,546
144,324
145,15
146,151
147,384
148,259
149,526
150,102
151,311
152,574
153,150
154,185
155,459
156,195
157,429
158,183
159,388
160,440
161,432
162,565
163,681
164,204
165,136
166,588
167,248
168,85
169,275
170,16
171,223
172,360
173,91
174,585
175,11
176,619
177,198
178,484
179,595
180,587
181,134
182,120
183,364
184,95
185,661
186,170
187,218
188,376
189,665
190,368
191,42
192,395
193,162
194,668
195,414
196,355
197,225
198,380
199,308
200,476
201,622
202,227
203,221
204,232
205,59
206,596
207,50
208,703
209,497
210,381
211,180
212,293
213,205
214,691
215,543
216,428
217,478
218,127
219,187
220,165
221,176
222,377
223,383
224,12
225,390
226,635
227,203
228,694
229,491
230,206
231,141
232,110
233,552
234,441
235,489
236,67
237,454
238,268
239,523
240,425
241,189
242,84
243,567
244,20
245,146
246,536
247,6
248,527
249,171
250,638
251,4
252,709
253,591
254,281
255,654
256,684
257,662
258,442
259,191
260,634
261,556
262,544
263,715
264,276
265,334
266,115
267,600
268,100
269,104
270,215
271,648
272,1
273,143
274,701
275,692
276,43
277,101
278,161
279,453
280,682
281,412
282,242
283,159
284,228
285,272
286,435
287,593
288,563
289,407
290,96
291,362
292,379
293,389
294,386
295,462
296,21
297,168
298,26
299,431
300,184
301,672
302,387
303,417
304,554
305,208
306,626
307,200
308,312
309,245
310,530
311,514
312,509
313,659
314,121
315,114
316,331
317,52
318,207
319,660
320,290
321,482
322,244
323,74
324,613
325,400
326,157
327,406
328,584
329,641
330,234
331,418
332,321
333,306
334,81
335,224
336,467
337,690
338,298
339,296
340,112
341,249
342,577
343,70
344,372
345,348
346,34
347,164
348,639
349,80
350,569
351,504
352,464
353,93
354,402
355,38
356,305
357,329
358,113
359,457
360,48
361,604
362,315
363,502
364,88
365,354
366,361
367,712
368,443
369,236
370,422
371,667
372,471
373,594
374,41
375,265
376,586
377,155
378,19
379,282
380,674
381,196
382,548
383,119
384,332
385,116
386,273
387,426
388,708
389,261
390,192
391,685
392,229
393,124
394,365
395,605
396,369
397,301
398,644
399,269
400,507
401,280
402,555
403,477
404,284
405,24
406,148
407,545
408,340
409,97
410,199
411,237
412,419
413,581
414,333
415,126
416,602
417,657
418,37
419,72
420,655
421,30
422,630
423,0
424,465
425,289
426,139
427,524
428,122
429,490
430,673
431,448
432,253
433,25
434,573
435,624
436,632
437,516
438,131
439,576
440,513
441,56
442,181
443,371
444,167
445,135
446,447
447,351
448,163
449,475
450,212
451,496
452,86
453,538
454,317
455,473
456,193
457,39
458,599
459,65
460,451
461,197
462,366
463,702
464,338
465,374
466,492
467,392
468,606
469,28
470,439
471,105
472,314
473,158
474,352
475,495
476,640
477,615
478,614
479,53
480,144
481,623
482,173
483,216
484,535
485,645
486,500
487,316
488,233
489,109
490,202
491,589
492,64
493,188
494,533
495,14
496,522
497,350
498,260
499,140
500,263
501,705
502,283
503,487
504,393
505,174
506,258
507,177
508,68
509,706
510,339
511,562
512,78
513,341
514,57
515,415
516,474
517,413
518,103
519,356
520,209
521,525
522,646
523,424
524,2
525,656
526,147
527,363
528,636
529,357
530,201
531,190
532,561
533,330
534,375
535,531
536,279
537,214
538,610
539,327
540,132
541,182
542,541
543,346
544,450
545,616
546,485
547,582
548,264
549,342
550,152
551,633
552,345
553,444
554,590
555,572
556,66
557,557
558,247
559,29
560,304
561,32
562,343
563,503
564,7
565,455
566,142
567,309
568,322
569,689
570,571
571,583
572,612
573,472
574,60
575,670
576,318
577,570
578,27
579,466
580,133
581,359
582,592
583,31
584,69
585,271
586,175
587,83
588,344
589,697
590,669
591,625
592,559
593,292
594,35
595,349
596,710
597,698
598,310
599,347
600,686
601,323
602,597
603,434
604,278
605,40
606,262
607,300
608,430
609,378
610,537
611,436
