index,samples
0,371
1,650
2,686
3,38
4,58
5,420
6,592
7,704
8,520
9,20
10,126
11,485
12,182
13,114
14,67
15,233
16,177
17,263
18,405
19,547
20,186
21,383
22,676
23,211
24,0
25,613
26,166
27,479
28,393
29,373
30,332
31,53
32,619
33,55
34,256
35,614
36,102
37,626
38,498
39,474
40,430
41,546
42,258
43,491
44,588
45,452
46,70
47,515
48,220
49,450
50,273
51,284
52,678
53,541
54,113
55,110
56,291
57,353
58,379
59,237
60,2
61,118
62,593
63,523
64,633
65,423
66,395
67,99
68,19
69,493
70,134
71,319
72,464
73,278
74,250
75,561
76,280
77,201
78,147
79,465
80,429
81,226
82,115
83,252
84,590
85,3
86,287
87,254
88,467
89,8
90,276
91,656
92,524
93,54
94,50
95,384
96,338
97,716
98,560
99,439
100,101
101,640
102,202
103,188
104,268
105,266
106,215
107,543
108,411
109,666
110,145
111,651
112,572
113,657
114,712
115,634
116,376
117,292
118,377
119,39
120,248
121,323
122,229
123,432
124,189
125,349
126,309
127,444
128,249
129,607
130,49
131,259
132,293
133,708
134,558
135,598
136,198
137,238
138,81
139,243
140,277
141,173
142,655
143,544
144,275
145,484
146,308
147,608
148,175
149,117
150,100
151,501
152,652
153,197
154,398
155,63
156,386
157,522
158,32
159,372
160,143
161,375
162,111
163,711
164,171
165,27
166,532
167,609
168,313
169,596
170,611
171,12
172,79
173,502
174,159
175,221
176,641
177,74
178,448
179,48
180,483
181,462
182,412
183,205
184,217
185,84
186,624
187,492
188,617
189,230
190,213
191,274
192,306
193,43
194,82
195,260
196,242
197,227
198,97
199,639
200,346
201,644
202,282
203,606
204,21
205,52
206,29
207,366
208,659
209,364
210,18
211,715
212,496
213,247
214,315
215,170
216,604
217,529
218,162
219,702
220,551
221,707
222,459
223,176
224,612
225,506
226,555
227,45
228,107
229,209
230,518
231,550
232,139
233,234
234,380
235,461
236,312
237,320
238,112
239,169
240,158
241,573
242,488
243,10
244,231
245,565
246,236
247,706
248,288
249,618
250,668
251,628
252,200
253,599
254,443
255,183
256,90
257,174
258,304
259,51
260,545
261,692
262,374
263,93
264,632
265,129
266,472
267,341
268,148
269,80
270,531
271,691
272,571
273,302
274,683
275,133
276,675
277,694
278,495
279,265
280,144
281,225
282,400
283,141
284,122
285,191
286,160
287,59
288,454
289,548
290,564
291,517
292,447
293,184
294,286
295,630
296,369
297,299
298,272
299,513
300,577
301,536
302,394
303,458
304,407
305,623
306,127
307,41
308,658
309,116
310,348
311,34
312,416
313,525
314,345
315,705
316,469
317,507
318,135
319,31
320,647
321,185
322,435
323,685
324,140
325,385
326,316
327,244
328,271
329,207
330,301
331,172
332,460
333,473
334,370
335,530
336,663
337,367
338,137
339,643
340,109
341,516
342,88
343,526
344,219
345,281
346,615
347,155
348,453
349,11
350,540
351,578
352,557
353,245
354,504
355,267
356,714
357,361
358,310
359,351
360,431
361,204
362,285
363,255
364,684
365,681
366,339
367,9
368,344
369,418
370,559
371,152
372,104
373,627
374,153
375,579
376,363
377,121
378,300
379,314
380,587
381,494
382,296
383,261
384,64
385,600
386,279
387,365
388,661
389,542
390,511
391,35
392,78
393,125
394,321
395,594
396,123
397,14
398,290
399,216
400,410
401,581
402,241
403,690
404,355
405,696
406,642
407,317
408,603
409,331
410,322
411,17
412,427
413,387
414,98
415,283
416,622
417,92
418,610
419,73
420,96
421,192
422,534
423,466
424,446
425,413
426,490
427,190
428,514
429,56
430,664
431,653
432,340
433,470
434,586
435,180
436,149
437,441
438,602
439,71
440,392
441,419
442,662
443,688
444,709
445,196
446,262
447,357
448,358
449,337
450,649
451,553
452,415
453,585
454,68
455,481
456,359
457,537
458,480
459,433
460,576
461,44
462,478
463,500
464,689
465,406
466,142
467,89
468,251
469,390
470,476
471,388
472,510
473,486
474,161
475,60
476,697
477,289
478,477
479,403
480,582
481,605
482,124
483,253
484,119
485,672
486,625
487,660
488,425
489,503
490,508
491,66
492,397
493,621
494,354
495,438
496,194
497,356
498,61
499,352
500,15
501,362
502,679
503,426
504,13
505,589
506,402
507,533
508,327
509,164
510,567
511,240
512,549
513,638
514,574
515,138
516,5
517,218
518,1
519,257
520,131
521,629
522,566
523,25
524,421
525,62
526,381
527,671
528,223
529,482
530,569
531,330
532,295
533,509
534,270
535,409
536,325
537,294
538,468
539,455
540,105
541,424
542,360
543,580
544,456
545,146
546,305
547,168
548,497
549,471
550,489
551,203
552,224
553,303
554,165
555,128
556,228
557,710
558,47
559,674
560,528
561,568
562,646
563,269
564,442
565,22
566,475
567,601
568,75
569,65
570,404
571,713
572,16
573,46
574,42
575,505
576,616
577,86
578,703
579,222
580,563
581,206
582,150
583,120
584,554
585,417
586,210
587,193
588,94
589,130
590,665
591,163
592,136
593,436
594,212
595,538
596,328
597,239
598,535
599,391
600,680
601,584
602,378
603,4
604,428
605,208
606,307
607,635
608,698
609,449
610,37
611,382
