index,samples
0,295
1,364
2,695
3,508
4,320
5,523
6,471
7,673
8,553
9,390
10,663
11,410
12,304
13,181
14,685
15,539
16,246
17,347
18,422
19,300
20,426
21,645
22,447
23,44
24,691
25,443
26,599
27,690
28,252
29,118
30,207
31,367
32,60
33,504
34,688
35,522
36,629
37,123
38,280
39,142
40,206
41,556
42,642
43,713
44,498
45,244
46,33
47,338
48,169
49,407
50,704
51,29
52,196
53,274
54,313
55,707
56,284
57,336
58,683
59,667
60,210
61,600
62,693
63,641
64,189
65,321
66,592
67,689
68,438
69,598
70,525
71,507
72,446
73,248
74,612
75,76
76,651
77,603
78,331
79,70
80,526
81,475
82,203
83,253
84,25
85,377
86,567
87,423
88,42
89,699
90,317
91,82
92,146
93,656
94,75
95,694
96,233
97,408
98,490
99,30
100,128
101,472
102,234
103,298
104,18
105,369
106,222
107,372
108,48
109,559
110,406
111,23
112,346
113,225
114,164
115,533
116,706
117,456
118,282
119,419
120,613
121,465
122,214
123,532
124,692
125,329
126,395
127,415
128,292
129,563
130,163
131,37
132,516
133,400
134,324
135,560
136,141
137,518
138,195
139,460
140,586
141,112
142,521
143,591
144,140
145,15
146,383
147,131
148,547
149,337
150,209
151,229
152,495
153,311
154,92
155,450
156,373
157,361
158,87
159,86
160,624
161,84
162,223
163,74
164,542
165,3
166,161
167,11
168,575
169,449
170,145
171,368
172,192
173,335
174,53
175,357
176,379
177,637
178,473
179,186
180,528
181,359
182,319
183,432
184,241
185,312
186,544
187,584
188,100
189,9
190,198
191,497
192,13
193,401
194,276
195,34
196,17
197,171
198,187
199,565
200,165
201,258
202,392
203,581
204,458
205,69
206,505
207,10
208,537
209,596
210,682
211,403
212,114
213,356
214,35
215,220
216,322
217,463
218,41
219,378
220,431
221,110
222,278
223,157
224,494
225,230
226,606
227,138
228,217
229,58
230,620
231,519
232,414
233,468
234,562
235,85
236,684
237,500
238,32
239,184
240,1
241,428
242,425
243,49
244,503
245,96
246,375
247,56
248,80
249,286
250,104
251,621
252,216
253,354
254,297
255,172
256,409
257,549
258,279
259,197
260,90
261,156
262,476
263,469
264,619
265,113
266,63
267,381
268,711
269,388
270,40
271,265
272,238
273,649
274,715
275,557
276,183
277,697
278,535
279,259
280,374
281,227
282,340
283,687
284,143
285,308
286,83
287,662
288,380
289,444
290,266
291,251
292,318
293,24
294,159
295,353
296,46
297,31
298,451
299,119
300,277
301,610
302,67
303,483
304,564
305,386
306,290
307,177
308,341
309,650
310,493
311,387
312,709
313,593
314,541
315,242
316,448
317,54
318,4
319,580
320,442
321,264
322,291
323,365
324,716
325,305
326,269
327,534
328,122
329,452
330,352
331,239
332,402
333,582
334,232
335,349
336,254
337,670
338,102
339,135
340,185
341,262
342,323
343,256
344,342
345,440
346,455
347,574
348,150
349,543
350,268
351,538
352,107
353,583
354,62
355,36
356,57
357,614
358,111
359,681
360,125
361,71
362,698
363,355
364,235
365,376
366,616
367,272
368,72
369,466
370,133
371,623
372,501
373,576
374,77
375,148
376,714
377,97
378,103
379,491
380,299
381,550
382,245
383,16
384,310
385,7
386,445
387,325
388,572
389,660
390,124
391,116
392,66
393,109
394,328
395,399
396,363
397,108
398,569
399,669
400,417
401,301
402,205
403,362
404,636
405,213
406,705
407,105
408,654
409,166
410,512
411,371
412,261
413,631
414,527
415,433
416,0
417,136
418,2
419,93
420,555
421,219
422,701
423,625
424,65
425,302
426,659
427,517
428,666
429,26
430,79
431,200
432,712
433,418
434,467
435,393
436,231
437,257
438,588
439,605
440,558
441,344
442,288
443,180
444,536
445,607
446,370
447,646
448,686
449,652
450,510
451,397
452,152
453,617
454,653
455,384
456,237
457,28
458,632
459,478
460,436
461,396
462,151
463,671
464,343
465,39
466,358
467,391
468,702
469,260
470,611
471,14
472,530
473,326
474,27
475,678
476,176
477,162
478,657
479,137
480,182
481,303
482,129
483,147
484,703
485,174
486,45
487,585
488,602
489,664
490,434
491,212
492,273
493,250
494,168
495,634
496,12
497,411
498,398
499,597
500,481
501,618
502,6
503,424
504,429
505,674
506,668
507,188
508,578
509,316
510,81
511,529
512,573
513,420
514,633
515,412
516,19
517,492
518,173
519,566
520,224
521,267
522,404
523,486
524,615
525,680
526,638
527,191
528,215
529,199
530,201
531,21
532,98
533,306
534,416
535,327
536,627
537,608
538,441
539,488
540,679
541,435
542,94
543,117
544,51
545,604
546,99
547,204
548,121
549,228
550,275
551,314
552,134
553,551
554,211
555,47
556,158
557,658
558,427
559,513
560,271
561,594
562,545
563,677
564,546
565,454
566,461
567,38
568,247
569,61
570,170
571,590
572,630
573,389
574,208
575,43
576,382
577,675
578,348
579,628
580,243
581,511
582,672
583,139
584,315
585,50
586,218
587,622
588,640
589,609
590,366
591,194
592,64
593,506
594,190
595,470
596,345
597,55
598,95
599,661
600,153
601,515
602,524
603,221
604,474
605,480
606,509
607,126
608,270
609,120
610,570
611,351
