index,samples,labels
0,175,10
1,197,14
2,388,22
3,184,12
4,370,15
5,98,2
6,324,18
7,15,14
8,39,15
9,273,12
10,89,19
11,255,6
12,305,12
13,188,18
14,302,19
15,390,12
16,377,9
17,265,12
18,191,3
19,84,0
20,82,14
21,383,5
22,192,20
23,261,21
24,162,5
25,151,1
26,190,5
27,148,2
28,344,12
29,331,4
30,245,15
31,399,6
32,193,19
33,24,16
34,275,14
35,223,3
36,339,21
37,182,15
38,28,0
39,410,3
40,180,12
41,16,10
42,168,15
43,5,14
44,145,7
45,70,12
46,119,12
47,225,12
48,256,12
49,246,15
50,0,3
51,68,18
52,323,12
53,85,12
54,78,11
55,386,21
56,112,12
57,274,12
58,120,12
59,367,15
60,308,7
61,161,14
62,379,12
63,95,5
64,408,12
65,222,12
66,347,14
67,354,12
68,50,3
69,306,12
70,330,12
71,195,12
72,334,12
73,210,19
74,51,11
75,189,12
76,363,3
77,313,12
78,76,14
79,103,8
80,170,10
81,169,1
82,73,11
83,29,15
84,229,14
85,346,12
86,88,12
87,289,22
88,279,14
89,46,17
90,336,13
91,2,14
92,221,1
93,102,1
94,269,16
95,167,13
96,6,12
97,34,12
98,397,14
99,407,19
100,268,12
101,258,20
102,311,12
103,332,15
104,106,1
105,270,22
106,71,12
107,202,10
108,393,12
109,284,1
110,12,5
111,31,1
112,58,22
113,248,15
114,378,1
115,147,12
116,42,18
117,348,12
118,230,14
119,260,1
120,312,7
121,300,5
122,194,3
123,364,5
124,4,5
125,154,12
126,198,12
127,297,16
128,203,12
129,217,15
130,267,14
131,38,22
132,174,19
133,79,19
134,146,22
135,144,12
136,226,12
137,177,12
138,333,9
139,72,22
140,310,3
141,372,15
142,326,12
143,209,22
144,187,3
145,137,12
146,163,12
147,329,12
148,131,12
149,281,0
150,414,12
151,158,9
152,100,21
153,241,22
154,11,15
155,205,15
156,278,16
157,271,9
158,74,12
159,227,3
160,117,19
161,13,11
162,121,18
163,214,12
164,224,14
165,247,12
166,262,12
167,116,3
168,132,18
169,110,12
170,220,10
171,127,12
172,139,12
173,206,12
174,22,12
175,186,12
176,43,3
177,391,12
178,355,3
179,277,3
180,45,14
181,173,21
182,21,12
183,66,1
184,413,11
185,61,12
186,320,12
187,307,22
188,389,22
189,338,10
190,55,12
191,123,12
192,124,14
193,135,14
194,199,3
195,166,17
196,366,18
197,328,14
198,104,15
199,94,5
200,105,14
201,204,3
202,219,22
203,266,12
204,211,3
205,295,16
206,122,1
207,280,14
208,213,15
209,150,14
210,36,12
211,373,15
212,314,12
213,404,17
214,111,12
215,18,18
216,318,15
217,8,14
218,133,12
219,107,14
220,294,12
221,358,2
222,398,3
223,361,19
224,292,10
225,196,12
226,298,22
227,63,19
228,257,13
229,287,3
230,412,15
231,253,9
232,341,14
233,48,12
234,212,12
235,140,5
236,376,14
237,349,9
238,115,17
239,200,22
240,371,12
241,91,15
242,118,1
243,126,12
244,303,12
245,392,16
246,141,3
247,47,3
248,365,12
249,108,3
250,401,21
251,54,16
252,152,14
253,288,12
254,296,15
255,87,22
256,235,16
257,396,22
258,49,12
259,228,12
260,183,7
261,315,3
262,239,12
263,32,12
264,86,3
265,75,12
266,19,12
267,93,12
268,406,15
269,337,15
270,80,22
271,272,10
272,400,12
273,237,16
274,286,16
275,33,12
276,259,14
277,276,12
278,41,3
279,283,7
280,153,22
281,244,12
282,136,3
283,299,18
284,285,3
285,114,14
286,81,12
287,7,22
288,30,12
289,97,18
290,201,19
291,129,22
292,160,13
293,185,22
294,321,12
295,316,15
296,238,12
297,325,5
298,405,15
299,394,16
300,293,12
301,23,12
302,291,16
303,181,12
304,149,14
305,25,12
306,359,9
307,233,10
308,165,22
309,254,14
310,44,19
311,351,12
312,264,14
313,138,12
314,385,3
315,208,12
316,353,3
317,340,6
318,67,3
319,242,1
320,59,14
321,207,12
322,319,7
323,92,7
324,77,1
325,301,22
326,232,3
327,40,17
328,234,16
329,14,12
330,251,0
331,176,18
332,215,3
333,409,6
334,343,16
335,335,14
336,218,22
337,411,2
338,35,3
339,384,1
340,128,15
341,178,14
342,179,6
343,101,12
344,17,10
345,155,12
346,381,3
347,157,21
348,368,14
349,56,12
350,345,15
351,159,6
352,317,15
353,216,10
354,395,10
355,53,3
356,357,10
357,380,3
358,375,14
359,52,1
360,142,3
361,96,3
362,263,18
363,360,4
364,27,3
365,402,10
366,26,21
367,290,12
368,83,22
369,403,12
370,387,2
371,249,10
372,64,13
373,342,22
374,20,3
375,99,19
376,109,16
377,9,1
378,322,19
379,252,12
380,356,3
381,304,3
382,37,1
383,10,1
384,3,19
385,282,4
386,352,20
387,243,10
388,382,1
389,134,14
390,156,12
391,57,15
392,171,2
393,60,22
394,69,1
395,1,2
396,164,0
397,236,14
398,90,1
399,231,19
400,113,4
401,309,14
402,130,19
403,327,19
404,350,14
405,369,14
406,62,7
407,65,22
408,143,12
409,362,19
410,125,19
411,172,2
412,240,19
413,374,6
414,250,16
