index,samples,labels
0,344,12
1,271,9
2,412,15
3,367,15
4,313,12
5,132,18
6,296,15
7,310,3
8,364,5
9,390,12
10,229,14
11,92,7
12,299,18
13,118,1
14,371,12
15,33,12
16,356,3
17,283,7
18,6,12
19,292,10
20,94,5
21,88,12
22,386,21
23,248,15
24,182,15
25,75,12
26,147,12
27,288,12
28,193,19
29,74,12
30,403,12
31,73,11
32,30,12
33,233,10
34,18,18
35,15,14
36,34,12
37,361,19
38,100,21
39,391,12
40,93,12
41,332,15
42,127,12
43,9,1
44,290,12
45,221,1
46,124,14
47,2,14
48,404,17
49,133,12
50,77,1
51,237,16
52,301,22
53,359,9
54,411,2
55,153,22
56,381,3
57,12,5
58,337,15
59,128,15
60,162,5
61,71,12
62,22,12
63,407,19
64,26,21
65,194,3
66,275,14
67,37,1
68,68,18
69,204,3
70,279,14
71,3,19
72,168,15
73,51,11
74,98,2
75,252,12
76,152,14
77,306,12
78,144,12
79,189,12
80,43,3
81,269,16
82,106,1
83,224,14
84,291,16
85,164,0
86,375,14
87,60,22
88,297,16
89,227,3
90,44,19
91,183,7
92,84,0
93,268,12
94,173,21
95,113,4
96,240,19
97,378,1
98,50,3
99,382,1
100,165,22
101,325,5
102,149,14
103,226,12
104,208,12
105,250,16
106,42,18
107,55,12
108,122,1
109,53,3
110,1,2
111,27,3
112,333,9
113,192,20
114,187,3
115,90,1
116,69,1
117,282,4
118,82,14
119,369,14
120,143,12
121,121,18
122,83,22
123,357,10
124,374,6
125,312,7
126,179,6
127,59,14
128,309,14
129,188,18
130,365,12
131,52,1
132,345,15
133,79,19
134,341,14
135,166,17
136,231,19
137,146,22
138,402,10
139,178,14
140,155,12
141,258,20
142,350,14
143,362,19
144,125,19
145,379,12
146,19,12
147,285,3
148,185,22
149,257,13
150,20,3
151,315,3
152,96,3
153,114,14
154,254,14
155,363,3
156,61,12
157,80,22
158,266,12
159,76,14
160,241,22
161,4,5
162,409,6
163,156,12
164,320,12
165,385,3
166,327,19
167,322,19
168,255,6
169,377,9
170,242,1
171,264,14
172,373,15
173,336,13
174,270,22
175,5,14
176,134,14
177,396,22
178,389,22
179,31,1
180,307,22
181,388,22
182,353,3
183,14,12
184,212,12
185,343,16
186,115,17
187,383,5
188,201,19
189,176,18
190,245,15
191,222,12
192,119,12
193,70,12
194,334,12
195,186,12
196,225,12
197,13,11
198,319,7
199,109,16
200,135,14
201,394,16
202,352,20
203,413,11
204,261,21
205,286,16
206,181,12
207,211,3
208,294,12
209,161,14
210,41,3
211,159,6
212,65,22
213,215,3
214,150,14
215,169,1
216,85,12
217,38,22
218,235,16
219,56,12
220,278,16
221,230,14
222,24,16
223,387,2
224,210,19
225,328,14
226,64,13
227,0,3
228,324,18
229,91,15
230,335,14
231,48,12
232,200,22
233,72,22
234,207,12
235,267,14
236,277,3
237,105,14
238,414,12
239,49,12
240,360,4
241,392,16
242,17,10
243,174,19
244,104,15
245,262,12
246,300,5
247,398,3
248,36,12
249,348,12
250,368,14
251,293,12
252,157,21
253,46,17
254,196,12
255,247,12
256,220,10
257,209,22
258,251,0
259,167,13
260,280,14
261,63,19
262,7,22
263,35,3
264,234,16
265,170,10
266,243,10
267,141,3
268,171,2
269,340,6
270,323,12
271,265,12
272,399,6
273,10,1
274,214,12
275,236,14
276,197,14
277,123,12
278,203,12
279,330,12
280,58,22
281,89,19
282,408,12
283,23,12
284,45,14
285,213,15
286,142,3
287,259,14
288,358,2
289,163,12
290,395,10
291,97,18
292,145,7
293,326,12
294,202,10
295,376,14
296,177,12
297,347,14
298,180,12
299,393,12
300,160,13
301,256,12
302,298,22
303,274,12
304,62,7
305,175,10
306,287,3
307,276,12
308,11,15
309,148,2
310,217,15
311,318,15
312,130,19
313,223,3
314,295,16
315,349,9
316,140,5
317,95,5
318,339,21
319,401,21
320,219,22
321,244,12
322,67,3
323,158,9
324,40,17
325,260,1
326,154,12
327,272,10
328,198,12
329,99,19
330,21,12
331,8,14
332,400,12
333,380,3
334,54,16
335,308,7
336,87,22
337,57,15
338,199,3
339,112,12
340,205,15
341,116,3
342,232,3
343,47,3
344,28,0
345,78,11
346,151,1
347,103,8
348,86,3
349,263,18
350,346,12
351,302,19
352,195,12
353,384,1
354,238,12
355,102,1
356,136,3
357,120,12
358,329,12
359,331,4
360,410,3
361,218,22
362,246,15
363,190,5
364,25,12
365,126,12
366,397,14
367,370,15
368,216,10
369,305,12
370,117,19
371,355,3
372,366,18
373,289,22
374,239,12
375,184,12
376,172,2
377,111,12
378,138,12
379,338,10
380,284,1
381,16,10
382,29,15
383,137,12
384,304,3
385,372,15
386,129,22
387,281,0
388,108,3
389,317,15
390,342,22
391,249,10
392,107,14
393,131,12
394,32,12
395,206,12
396,314,12
397,66,1
398,191,3
399,39,15
400,228,12
401,354,12
402,110,12
403,139,12
404,406,15
405,311,12
406,81,12
407,303,12
408,351,12
409,273,12
410,321,12
411,316,15
412,101,12
413,405,15
414,253,9
