index,samples,labels
0,537,12
1,402,0
2,9,12
3,218,14
4,541,12
5,486,12
6,35,19
7,607,12
8,222,15
9,197,12
10,269,14
11,319,1
12,291,3
13,461,12
14,97,3
15,73,12
16,493,14
17,190,12
18,378,1
19,316,12
20,10,1
21,355,22
22,282,12
23,346,14
24,91,12
25,340,19
26,602,16
27,404,3
28,606,17
29,14,7
30,499,12
31,481,14
32,410,16
33,260,12
34,572,9
35,513,12
36,19,4
37,137,19
38,338,12
39,42,18
40,312,16
41,549,20
42,407,5
43,148,3
44,160,12
45,49,19
46,24,12
47,136,3
48,275,12
49,261,11
50,219,14
51,399,16
52,63,12
53,70,12
54,290,8
55,67,3
56,403,10
57,498,12
58,36,3
59,429,22
60,297,1
61,50,3
62,317,14
63,100,12
64,146,3
65,508,5
66,391,16
67,57,22
68,29,18
69,305,16
70,250,12
71,45,3
72,169,11
73,301,16
74,183,19
75,512,14
76,134,16
77,267,16
78,217,14
79,437,3
80,119,12
81,207,9
82,611,16
83,382,22
84,51,14
85,247,22
86,18,12
87,330,12
88,475,12
89,284,22
90,231,5
91,525,12
92,174,12
93,182,14
94,322,14
95,142,21
96,510,3
97,48,3
98,411,14
99,72,9
100,543,12
101,98,15
102,356,18
103,521,14
104,594,14
105,303,18
106,233,12
107,555,14
108,237,13
109,580,3
110,257,12
111,96,7
112,336,1
113,129,21
114,445,13
115,465,9
116,329,16
117,268,12
118,491,19
119,299,14
120,359,22
121,527,1
122,177,10
123,5,12
124,152,4
125,497,1
126,591,16
127,350,22
128,550,12
129,170,3
130,208,12
131,176,22
132,65,12
133,351,12
134,327,12
135,159,12
136,225,12
137,314,12
138,324,1
139,264,5
140,400,12
141,75,22
142,26,13
143,597,12
144,585,16
145,306,12
146,302,12
147,387,14
148,531,3
149,288,15
150,610,15
151,583,0
152,466,3
153,232,12
154,342,12
155,337,12
156,412,3
157,368,3
158,58,3
159,449,6
160,185,1
161,243,15
162,520,5
163,94,3
164,141,3
165,377,21
166,574,12
167,529,12
168,421,3
169,517,7
170,435,3
171,242,14
172,23,16
173,215,0
174,425,7
175,259,14
176,468,6
177,436,18
178,99,5
179,156,12
180,161,16
181,228,15
182,540,14
183,262,3
184,117,12
185,393,12
186,590,22
187,229,15
188,434,10
189,586,14
190,423,15
191,398,12
192,489,12
193,155,3
194,204,12
195,565,14
196,562,22
197,253,12
198,476,22
199,395,15
200,577,12
201,276,12
202,107,10
203,292,3
204,379,14
205,147,3
206,501,12
207,365,15
208,561,15
209,558,3
210,310,3
211,167,12
212,39,12
213,236,12
214,522,3
215,279,12
216,150,12
217,135,12
218,108,12
219,326,12
220,438,15
221,76,3
222,567,12
223,582,21
224,523,12
225,370,12
226,271,10
227,173,1
228,354,19
229,286,12
230,371,12
231,213,15
232,12,22
233,200,16
234,470,16
235,254,1
236,263,22
237,116,19
238,90,12
239,419,7
240,280,12
241,193,12
242,563,16
243,131,12
244,467,12
245,534,7
246,311,5
247,16,12
248,566,12
249,554,12
250,21,15
251,211,7
252,201,14
253,214,18
254,79,12
255,162,3
256,15,2
257,112,14
258,86,14
259,454,9
260,143,12
261,71,12
262,184,12
263,479,12
264,396,15
265,256,12
266,188,12
267,265,3
268,446,14
269,273,12
270,362,5
271,526,12
272,4,12
273,363,15
274,389,12
275,308,16
276,151,14
277,488,22
278,605,7
279,532,22
280,298,22
281,556,15
282,478,9
283,277,22
284,56,5
285,397,16
286,553,15
287,502,12
288,309,14
289,121,12
290,102,15
291,252,14
292,199,18
293,406,14
294,431,1
295,158,16
296,180,15
297,60,12
298,570,22
299,300,18
300,34,19
301,422,12
302,418,3
303,588,12
304,427,22
305,494,12
306,205,12
307,441,18
308,349,18
309,533,14
310,191,19
311,536,12
312,414,12
313,409,10
314,447,12
315,538,22
316,77,3
317,318,12
318,61,3
319,238,3
320,274,15
321,223,22
322,157,12
323,189,9
324,109,12
325,281,12
326,3,12
327,344,5
328,212,9
329,348,12
330,571,3
331,266,5
332,20,12
333,604,12
334,235,12
335,428,12
336,408,12
337,544,3
338,352,13
339,28,22
340,472,12
341,251,1
342,539,14
343,413,15
344,124,12
345,25,12
346,469,22
347,453,5
348,569,14
349,1,14
350,331,13
351,456,12
352,138,3
353,576,3
354,270,22
355,93,22
356,106,3
357,390,12
358,38,12
359,339,9
360,417,1
361,516,7
362,139,5
363,328,12
364,53,22
365,490,12
366,462,12
367,367,3
368,557,12
369,361,1
370,258,19
371,293,15
372,415,3
373,506,22
374,105,1
375,181,12
376,432,22
377,313,12
378,514,12
379,6,12
380,603,12
381,43,3
382,46,12
383,241,18
384,420,14
385,564,12
386,17,15
387,230,12
388,507,3
389,388,12
390,85,22
391,335,12
392,202,5
393,110,12
394,52,3
395,442,12
396,325,14
397,530,5
398,457,15
399,548,12
400,347,5
401,126,1
402,578,15
403,573,12
404,592,14
405,535,12
406,474,10
407,483,12
408,369,19
409,95,3
410,210,22
411,504,12
412,443,16
413,307,12
414,83,12
