index,samples,labels
0,360,15
1,364,12
2,523,12
3,508,5
4,471,12
5,320,10
6,553,15
7,426,22
8,390,12
9,304,15
10,149,8
11,115,14
12,101,12
13,332,5
14,568,18
15,295,12
16,246,12
17,510,3
18,181,12
19,520,5
20,539,14
21,121,12
22,554,12
23,44,12
24,21,15
25,346,14
26,210,22
27,300,18
28,70,12
29,447,12
30,144,15
31,29,18
32,313,12
33,540,14
34,599,3
35,128,12
36,608,19
37,445,13
38,142,21
39,603,12
40,556,15
41,244,10
42,475,12
43,343,3
44,367,3
45,600,3
46,284,22
47,489,12
48,609,15
49,590,22
50,316,12
51,422,12
52,347,5
53,443,16
54,393,12
55,504,12
56,225,12
57,419,7
58,598,12
59,45,3
60,317,14
61,302,12
62,593,1
63,279,12
64,526,12
65,412,3
66,146,3
67,446,14
68,169,11
69,610,15
70,438,15
71,481,14
72,56,5
73,157,12
74,25,12
75,253,12
76,500,21
77,472,12
78,30,15
79,297,1
80,37,12
81,329,16
82,276,12
83,512,14
84,408,12
85,282,12
86,267,16
87,34,19
88,369,19
89,567,12
90,321,19
91,380,12
92,289,3
93,238,3
94,168,12
95,477,9
96,487,2
97,296,16
98,285,3
99,485,3
100,372,6
101,298,22
102,400,12
103,533,14
104,395,15
105,251,1
106,163,22
107,125,14
108,259,14
109,257,12
110,497,1
111,353,5
112,563,16
113,514,12
114,460,7
115,532,22
116,337,12
117,606,17
118,164,2
119,220,15
120,80,12
121,60,12
122,207,9
123,230,12
124,122,22
125,368,3
126,107,10
127,335,12
128,495,6
129,264,5
130,2,22
131,54,3
132,373,10
133,103,12
134,63,12
135,193,12
136,31,12
137,84,19
138,292,3
139,349,18
140,111,6
141,528,3
142,140,12
143,74,14
144,51,14
145,15,2
146,448,12
147,87,10
148,113,15
149,184,12
150,187,5
151,409,10
152,383,1
153,361,1
154,505,2
155,11,12
156,171,14
157,278,21
158,86,14
159,32,3
160,13,10
161,110,12
162,463,19
163,223,22
164,501,12
165,476,22
166,584,14
167,165,19
168,534,7
169,581,22
170,518,12
171,557,12
172,319,1
173,161,16
174,326,12
175,172,3
176,104,12
177,444,12
178,41,19
179,458,2
180,596,14
181,375,14
182,538,22
183,58,3
184,407,5
185,174,12
186,535,12
187,112,14
188,432,22
189,138,3
190,102,15
191,301,16
192,591,16
193,388,12
194,72,9
195,357,11
196,124,12
197,605,7
198,416,3
199,137,19
200,359,22
201,469,22
202,77,3
203,24,12
204,241,18
205,131,12
206,451,10
207,376,16
208,356,18
209,431,1
210,216,22
211,542,21
212,537,12
213,256,12
214,386,15
215,331,13
216,185,1
217,114,21
218,379,14
219,575,14
220,46,12
221,183,19
222,414,12
223,97,3
224,18,12
225,483,12
226,198,16
227,342,12
228,213,15
229,90,12
230,392,19
231,391,16
232,442,12
233,494,12
234,586,14
235,544,3
236,9,12
237,147,3
238,177,10
239,53,22
240,340,19
241,272,16
242,274,15
243,100,12
244,322,14
245,465,9
246,374,6
247,452,3
248,39,12
249,96,7
250,381,19
251,186,18
252,519,9
253,425,7
254,503,22
255,133,3
256,182,14
257,258,19
258,265,3
259,549,20
260,16,12
261,40,3
262,49,19
263,541,12
264,35,19
265,119,12
266,323,1
267,232,12
268,488,22
269,291,3
270,27,21
271,582,21
272,7,1
273,192,16
274,156,12
275,85,22
276,401,12
277,466,3
278,436,18
279,231,5
280,26,13
281,38,12
282,387,14
283,604,12
284,17,15
285,229,15
286,143,12
287,473,14
288,449,6
289,574,12
290,268,12
291,67,3
292,203,14
293,602,16
294,152,4
295,83,12
296,338,12
297,555,14
298,62,22
299,239,3
300,227,22
301,305,16
302,467,12
303,572,9
304,290,8
305,403,10
306,200,16
307,411,14
308,233,12
309,235,12
310,310,3
311,441,18
312,69,3
313,254,1
314,341,6
315,565,14
316,197,12
317,48,3
318,580,3
319,318,12
320,250,12
321,1,14
322,547,14
323,440,22
324,312,16
325,10,1
326,66,12
327,92,19
328,211,7
329,491,19
330,217,14
331,354,19
332,275,12
333,286,12
334,527,1
335,116,19
336,43,3
337,517,7
338,507,3
339,550,12
340,562,22
341,363,15
342,277,22
343,93,22
344,559,22
345,242,14
346,271,10
347,521,14
348,327,12
349,170,3
350,406,14
351,150,12
352,71,12
353,180,15
354,311,5
355,108,12
356,36,3
357,299,14
358,105,1
359,0,2
360,245,15
361,583,0
362,365,15
363,188,12
364,396,15
365,486,12
366,433,19
367,402,0
368,578,15
369,176,22
370,145,12
371,261,11
372,224,15
373,12,22
374,237,13
375,378,1
376,109,12
377,611,16
378,371,12
379,209,12
380,79,12
381,314,12
382,399,16
383,362,5
384,569,14
385,262,3
386,61,3
387,355,22
388,377,21
389,597,12
390,65,12
391,243,15
392,344,5
393,382,22
394,151,14
395,493,14
396,199,18
397,266,5
398,155,3
399,370,12
400,260,12
401,123,19
402,429,22
403,434,10
404,166,15
405,560,6
406,159,12
407,306,12
408,28,22
409,564,12
410,456,12
411,546,3
412,196,15
413,352,13
414,57,22
