index,samples
0,239
1,127
2,46
3,132
4,51
5,353
6,294
7,201
8,403
9,57
10,82
11,345
12,200
13,258
14,158
15,110
16,165
17,265
18,331
19,58
20,304
21,31
22,387
23,39
24,59
25,202
26,393
27,185
28,147
29,392
30,388
31,35
32,413
33,237
34,224
35,47
36,196
37,252
38,193
39,42
40,92
41,186
42,378
43,26
44,207
45,40
46,263
47,71
48,45
49,154
50,241
51,335
52,32
53,84
54,183
55,216
56,182
57,56
58,60
59,180
60,372
61,310
62,229
63,286
64,361
65,161
66,124
67,228
68,72
69,414
70,289
71,412
72,48
73,247
74,77
75,360
76,131
77,404
78,118
79,373
80,117
81,350
82,160
83,317
84,157
85,359
86,246
87,111
88,267
89,261
90,243
91,383
92,255
93,251
94,240
95,174
96,75
97,259
98,312
99,34
100,17
101,357
102,52
103,306
104,29
105,66
106,10
107,278
108,96
109,214
110,318
111,296
112,358
113,298
114,61
115,351
116,326
117,192
118,315
119,330
120,379
121,394
122,244
123,293
124,210
125,217
126,16
127,73
128,67
129,22
130,211
131,90
132,184
133,375
134,276
135,249
136,409
137,78
138,264
139,376
140,195
141,209
142,324
143,148
144,79
145,54
146,170
147,205
148,119
149,328
150,401
151,7
152,277
153,113
154,2
155,168
156,151
157,115
158,311
159,390
160,30
161,108
162,137
163,19
164,248
165,156
166,382
167,129
168,374
169,88
170,63
171,212
172,231
173,172
174,74
175,355
176,176
177,3
178,208
179,12
180,406
181,213
182,321
183,139
184,173
185,308
186,130
187,322
188,226
189,256
190,349
191,234
192,367
193,400
194,0
195,37
196,291
197,6
198,116
199,122
200,36
201,125
202,344
203,230
204,233
205,336
206,107
207,197
208,128
209,314
210,187
211,287
212,338
213,292
214,138
215,198
216,245
217,354
218,288
219,97
220,397
221,93
222,300
223,273
224,179
225,398
226,410
227,64
228,407
229,55
230,106
231,323
232,218
233,114
234,8
235,15
236,222
237,9
238,91
239,225
240,191
241,126
242,238
243,341
244,301
245,399
246,134
247,41
248,250
249,50
250,269
251,346
252,121
253,150
254,386
255,69
256,220
257,80
258,20
259,181
260,281
261,343
262,309
263,149
264,104
265,146
266,1
267,260
268,44
269,290
270,194
271,103
272,133
273,98
274,166
275,266
276,89
277,102
278,14
279,123
280,140
281,11
282,396
283,377
284,144
285,83
286,167
287,109
288,385
289,334
290,188
291,70
292,112
293,28
294,340
295,347
296,370
297,85
298,363
299,189
300,253
301,332
302,13
303,352
304,86
305,100
306,295
307,405
308,53
309,43
310,348
311,143
312,49
313,219
314,271
315,316
316,364
317,282
318,283
319,342
320,302
321,391
322,155
323,333
324,337
325,305
326,329
327,25
328,105
329,81
330,95
331,204
332,384
333,4
334,369
335,408
336,171
337,23
338,389
339,235
340,65
341,163
342,411
343,270
344,339
345,232
346,38
347,135
348,236
349,5
350,206
351,21
352,159
353,136
354,274
355,275
356,365
357,320
358,272
359,285
360,101
361,356
362,169
363,164
364,152
365,62
366,371
367,178
368,325
369,297
370,268
371,299
372,279
373,142
374,368
375,175
376,227
377,215
378,99
379,33
380,76
381,87
382,402
383,366
384,153
385,362
386,68
387,257
388,141
389,242
390,327
391,221
392,120
393,284
394,319
395,395
396,381
397,203
398,24
399,190
400,177
401,254
402,307
403,199
404,162
405,313
406,303
407,18
408,223
409,262
410,27
411,145
412,380
413,94
414,280
