index,samples
0,239
1,127
2,42
3,141
4,363
5,331
6,257
7,76
8,368
9,186
10,40
11,327
12,123
13,202
14,377
15,111
16,265
17,219
18,128
19,13
20,22
21,322
22,113
23,291
24,18
25,402
26,329
27,232
28,357
29,311
30,266
31,140
32,171
33,282
34,184
35,35
36,69
37,230
38,341
39,314
40,275
41,152
42,209
43,20
44,187
45,339
46,0
47,290
48,317
49,370
50,386
51,401
52,213
53,342
54,255
55,253
56,235
57,86
58,353
59,162
60,1
61,325
62,297
63,62
64,194
65,312
66,182
67,405
68,414
69,299
70,242
71,389
72,338
73,197
74,217
75,146
76,44
77,25
78,409
79,298
80,278
81,117
82,9
83,228
84,352
85,286
86,148
87,247
88,30
89,246
90,393
91,178
92,67
93,58
94,160
95,153
96,260
97,196
98,14
99,223
100,103
101,318
102,101
103,51
104,271
105,125
106,82
107,84
108,360
109,72
110,261
111,28
112,110
113,404
114,218
115,98
116,412
117,274
118,207
119,19
120,256
121,292
122,3
123,46
124,161
125,305
126,367
127,227
128,199
129,350
130,80
131,120
132,413
133,269
134,334
135,164
136,137
137,85
138,249
139,26
140,177
141,10
142,287
143,52
144,309
145,24
146,212
147,29
148,112
149,5
150,156
151,384
152,381
153,77
154,288
155,315
156,376
157,135
158,79
159,169
160,346
161,158
162,335
163,323
164,396
165,395
166,279
167,124
168,174
169,78
170,32
171,302
172,54
173,36
174,185
175,45
176,99
177,392
178,216
179,236
180,328
181,293
182,166
183,387
184,95
185,320
186,93
187,172
188,410
189,371
190,81
191,34
192,215
193,388
194,49
195,226
196,105
197,273
198,27
199,189
200,159
201,399
202,382
203,15
204,97
205,316
206,336
207,75
208,306
209,165
210,358
211,243
212,233
213,59
214,200
215,349
216,102
217,326
218,351
219,301
220,373
221,155
222,170
223,254
224,47
225,268
226,175
227,83
228,108
229,359
230,163
231,87
232,354
233,53
234,407
235,383
236,21
237,173
238,50
239,372
240,347
241,244
242,132
243,224
244,238
245,126
246,252
247,345
248,364
249,145
250,48
251,122
252,355
253,89
254,406
255,66
256,369
257,321
258,332
259,116
260,241
261,231
262,251
263,361
264,109
265,100
266,307
267,17
268,179
269,106
270,378
271,245
272,205
273,270
274,201
275,330
276,176
277,31
278,313
279,73
280,319
281,366
282,400
283,181
284,295
285,374
286,310
287,60
288,258
289,12
290,193
291,16
292,206
293,214
294,8
295,63
296,403
297,136
298,385
299,23
300,70
301,150
302,7
303,61
304,139
305,151
306,37
307,56
308,149
309,107
310,303
311,144
312,41
313,379
314,43
315,71
316,280
317,356
318,284
319,289
320,154
321,344
322,300
323,308
324,168
325,143
326,394
327,114
328,190
329,90
330,57
331,39
332,104
333,343
334,33
335,131
336,167
337,133
338,211
339,281
340,195
341,121
342,237
343,267
344,74
345,129
346,296
347,198
348,134
349,248
350,221
351,96
352,192
353,390
354,262
355,263
356,191
357,234
358,6
359,138
360,2
361,259
362,92
363,68
364,283
365,391
366,220
367,225
368,115
369,88
370,362
371,208
372,188
373,264
374,348
375,272
376,294
377,91
378,276
379,204
380,4
381,380
382,222
383,324
384,183
385,375
386,411
387,65
388,340
389,397
390,203
391,94
392,240
393,11
394,64
395,304
396,333
397,38
398,157
399,210
400,229
401,130
402,142
403,337
404,147
405,398
406,250
407,285
408,277
409,408
410,180
411,118
412,119
413,365
414,55
