index,samples
0,105
1,63
2,259
3,369
4,169
5,248
6,298
7,138
8,391
9,40
10,98
11,392
12,132
13,356
14,178
15,321
16,270
17,398
18,3
19,152
20,292
21,336
22,288
23,344
24,136
25,291
26,66
27,134
28,230
29,117
30,111
31,203
32,33
33,234
34,401
35,146
36,335
37,88
38,122
39,100
40,115
41,45
42,145
43,81
44,378
45,218
46,198
47,121
48,125
49,275
50,303
51,189
52,131
53,232
54,112
55,13
56,327
57,343
58,123
59,295
60,382
61,250
62,147
63,69
64,213
65,62
66,32
67,239
68,200
69,11
70,108
71,153
72,254
73,49
74,215
75,389
76,43
77,103
78,235
79,316
80,219
81,207
82,127
83,197
84,89
85,165
86,284
87,118
88,277
89,75
90,371
91,211
92,229
93,353
94,163
95,379
96,251
97,128
98,104
99,222
100,26
101,253
102,273
103,130
104,176
105,18
106,388
107,240
108,410
109,256
110,403
111,233
112,50
113,236
114,90
115,339
116,268
117,310
118,186
119,302
120,264
121,249
122,160
123,142
124,137
125,72
126,245
127,363
128,23
129,206
130,255
131,278
132,214
133,377
134,6
135,99
136,408
137,394
138,37
139,182
140,351
141,263
142,412
143,246
144,380
145,397
146,238
147,175
148,306
149,76
150,174
151,84
152,395
153,258
154,141
155,407
156,368
157,194
158,65
159,183
160,191
161,331
162,94
163,154
164,290
165,164
166,314
167,283
168,308
169,221
170,247
171,8
172,107
173,143
174,24
175,109
176,51
177,0
178,54
179,171
180,325
181,97
182,60
183,28
184,41
185,15
186,82
187,370
188,348
189,364
190,25
191,192
192,170
193,385
194,30
195,328
196,390
197,405
198,375
199,359
200,27
201,285
202,282
203,195
204,376
205,156
206,231
207,179
208,372
209,1
210,113
211,296
212,346
213,406
214,96
215,158
216,7
217,29
218,2
219,400
220,193
221,345
222,38
223,58
224,243
225,129
226,281
227,85
228,267
229,272
230,404
231,396
232,67
233,354
234,204
235,119
236,366
237,304
238,289
239,323
240,185
241,4
242,35
243,347
244,361
245,242
246,110
247,173
248,73
249,352
250,52
251,399
252,184
253,68
254,362
255,355
256,59
257,322
258,332
259,261
260,126
261,300
262,338
263,216
264,199
265,357
266,225
267,367
268,79
269,180
270,166
271,217
272,241
273,12
274,17
275,311
276,148
277,271
278,387
279,188
280,257
281,237
282,155
283,340
284,80
285,266
286,333
287,172
288,212
289,293
290,374
291,149
292,86
293,269
294,46
295,39
296,157
297,167
298,209
299,320
300,373
301,91
302,409
303,228
304,159
305,53
306,70
307,95
308,297
309,187
310,64
311,114
312,341
313,61
314,22
315,202
316,133
317,42
318,309
319,150
320,342
321,315
322,44
323,312
324,9
325,220
326,34
327,48
328,313
329,224
330,262
331,101
332,92
333,71
334,205
335,16
336,21
337,294
338,93
339,57
340,414
341,299
342,358
343,393
344,124
345,116
346,14
347,140
348,279
349,317
350,244
351,56
352,168
353,55
354,47
355,196
356,381
357,10
358,349
359,87
360,190
361,280
362,276
363,324
364,402
365,139
366,307
367,319
368,286
369,77
370,301
371,102
372,383
373,265
374,318
375,365
376,144
377,350
378,252
379,360
380,223
381,208
382,78
383,151
384,135
385,330
386,334
387,326
388,36
389,384
390,287
391,274
392,83
393,227
394,305
395,329
396,260
397,20
398,337
399,411
400,201
401,19
402,413
403,226
404,74
405,5
406,120
407,106
408,31
409,177
410,210
411,161
412,162
413,181
414,386
