index,samples,labels
0,379,12
1,202,12
2,474,1
3,222,6
4,527,16
5,253,1
6,310,8
7,370,3
8,400,22
9,424,6
10,279,21
11,635,15
12,109,9
13,699,19
14,662,12
15,239,12
16,625,3
17,583,16
18,339,18
19,533,14
20,255,12
21,508,18
22,261,14
23,514,5
24,688,12
25,296,1
26,367,1
27,686,3
28,441,3
29,69,22
30,77,12
31,301,15
32,641,0
33,381,14
34,530,3
35,234,18
36,413,12
37,200,12
38,242,13
39,9,9
40,453,10
41,246,14
42,391,5
43,390,3
44,373,12
45,334,19
46,252,13
47,691,0
48,344,14
49,291,14
50,45,9
51,428,3
52,681,8
53,37,19
54,330,3
55,573,22
56,656,2
57,589,16
58,78,7
59,212,2
60,476,3
61,318,5
62,47,7
63,560,12
64,351,3
65,598,22
66,203,22
67,268,1
68,466,14
69,186,11
70,226,12
71,159,16
72,57,3
73,655,2
74,457,8
75,668,12
76,478,5
77,515,12
78,235,18
79,122,16
80,103,10
81,593,15
82,313,19
83,406,15
84,302,14
85,586,5
86,652,12
87,151,12
88,521,14
89,553,1
90,80,15
91,547,1
92,171,9
93,227,12
94,615,3
95,438,12
96,590,14
97,715,18
98,90,11
99,20,16
100,405,12
101,471,12
102,243,2
103,603,16
104,356,12
105,44,21
106,115,12
107,63,12
108,472,16
109,415,20
110,35,16
111,611,22
112,12,7
113,130,16
114,716,9
115,610,4
116,393,5
117,368,22
118,105,10
119,172,12
120,578,2
121,33,12
122,271,22
123,489,7
124,670,19
125,401,12
126,523,3
127,634,7
128,649,1
129,108,10
130,469,22
131,416,12
132,156,4
133,3,15
134,689,10
135,260,14
136,118,8
137,4,19
138,559,21
139,450,18
140,420,3
141,155,7
142,274,12
143,697,1
144,377,20
145,455,21
146,114,15
147,74,14
148,175,3
149,580,0
150,317,15
151,248,21
152,50,7
153,124,21
154,1,2
155,249,16
156,633,2
157,228,13
158,422,15
159,117,6
160,480,19
161,214,19
162,292,1
163,41,12
164,83,5
165,96,21
166,36,22
167,240,12
168,258,1
169,314,3
170,211,19
171,267,9
172,540,16
173,102,19
174,468,16
175,545,12
176,54,9
177,454,12
178,100,5
179,408,0
180,350,3
181,257,10
182,232,15
183,241,16
184,134,22
185,256,12
186,324,2
187,178,7
188,661,21
189,613,18
190,617,16
191,499,2
192,673,19
193,449,13
194,73,4
195,231,12
196,437,0
197,546,5
198,360,14
199,561,12
200,106,3
201,596,12
202,548,21
203,210,15
204,179,5
205,375,5
206,329,19
207,366,3
208,195,9
209,204,19
210,197,10
211,525,18
212,601,3
213,657,16
214,207,22
215,316,1
216,680,2
217,555,22
218,32,1
219,575,5
220,53,14
221,76,6
222,427,6
223,562,19
224,84,16
225,173,12
226,322,11
227,481,3
228,224,18
229,451,16
230,221,15
231,563,9
232,632,13
233,308,19
234,218,1
235,409,15
236,138,14
237,369,12
238,206,10
239,21,7
240,95,16
241,485,22
242,38,16
243,266,19
244,556,9
245,285,3
246,149,10
247,429,15
248,448,5
249,628,21
250,275,14
251,62,1
252,618,12
253,70,3
254,121,21
255,389,22
256,492,12
257,51,11
258,59,17
259,158,15
260,541,22
261,412,2
262,289,11
263,417,3
264,220,21
265,264,12
266,184,14
267,496,3
268,286,1
269,654,10
270,307,15
271,669,6
272,376,14
273,345,6
274,435,12
275,153,14
276,622,5
277,348,13
278,174,15
279,199,22
280,607,15
281,276,5
282,17,8
283,470,14
284,678,2
285,647,12
286,183,19
287,467,20
288,52,7
289,131,12
290,5,1
291,31,18
292,675,1
293,432,11
294,371,17
295,637,12
296,703,16
297,278,22
298,225,18
299,694,12
