index,samples,labels
0,623,12
1,316,1
2,264,12
3,179,5
4,259,12
5,82,14
6,99,15
7,89,3
8,194,22
9,352,14
10,323,15
11,417,3
12,439,3
13,526,12
14,114,15
15,490,3
16,467,20
17,581,12
18,595,12
19,571,1
20,426,15
21,181,12
22,365,16
23,493,12
24,362,12
25,506,12
26,287,3
27,157,12
28,408,0
29,652,12
30,566,12
31,333,12
32,568,12
33,425,15
34,488,14
35,390,3
36,708,12
37,604,22
38,692,12
39,714,16
40,274,12
41,33,12
42,695,12
43,482,12
44,511,12
45,6,12
46,113,19
47,543,6
48,650,22
49,620,12
50,145,12
51,124,21
52,410,12
53,247,12
54,304,12
55,312,9
56,359,18
57,532,12
58,8,3
59,357,12
60,94,12
61,570,12
62,301,15
63,125,12
64,693,14
65,552,12
66,219,22
67,218,1
68,64,16
69,656,2
70,514,5
71,20,16
72,681,8
73,381,14
74,80,15
75,302,14
76,47,7
77,235,18
78,159,16
79,603,16
80,428,3
81,226,12
82,234,18
83,598,22
84,171,9
85,527,16
86,212,2
87,453,10
88,90,11
89,344,14
90,655,2
91,406,15
92,44,21
93,635,15
94,9,9
95,593,15
96,193,12
97,353,12
98,405,12
99,67,12
100,399,12
101,458,12
102,531,15
103,231,12
104,58,5
105,363,14
106,431,12
107,637,12
108,300,12
109,690,12
110,379,12
111,572,12
112,574,12
113,691,0
114,538,12
115,22,12
116,436,14
117,496,3
118,154,19
119,93,12
120,622,5
121,7,1
122,654,10
123,309,12
124,382,12
125,383,12
126,96,21
127,592,12
128,594,12
129,143,3
130,349,12
131,273,12
132,616,15
133,498,12
134,597,12
135,416,12
136,642,3
137,296,1
138,530,3
139,600,4
140,392,19
141,648,12
142,265,12
143,715,18
144,238,14
145,475,12
146,209,12
147,551,12
148,186,11
149,414,1
150,332,12
151,667,12
152,115,12
153,438,12
154,18,12
155,619,12
156,606,12
157,279,21
158,582,12
159,170,12
160,295,12
161,253,1
162,277,12
163,549,14
164,54,9
165,462,12
166,276,5
167,288,9
168,37,19
169,131,12
170,643,12
171,535,12
172,472,16
173,491,1
174,61,12
175,621,12
176,41,12
177,573,22
178,297,12
179,704,16
180,586,5
181,291,14
182,554,14
183,135,14
184,313,19
185,659,12
186,163,12
187,151,12
188,321,5
189,483,12
190,45,9
191,164,12
192,269,12
193,564,19
194,92,12
195,72,12
196,261,14
197,395,12
198,632,13
199,394,22
200,614,12
201,521,14
202,651,14
203,456,14
204,192,12
205,705,16
206,223,12
207,152,12
208,95,16
209,126,12
210,664,22
211,38,16
212,389,22
213,166,15
214,547,1
215,404,12
216,676,12
217,370,3
218,495,14
219,258,1
220,583,16
221,510,12
222,63,12
223,30,7
224,579,14
225,203,22
226,589,16
227,243,2
228,391,5
229,177,12
230,542,12
231,687,14
232,471,12
233,268,1
234,254,12
235,557,2
236,272,11
237,173,12
238,587,3
239,222,6
240,515,12
241,208,12
242,445,12
243,330,3
244,101,21
245,702,1
246,403,3
247,641,0
248,141,12
249,0,12
250,558,12
251,627,12
252,388,12
253,596,12
254,216,12
255,85,12
256,646,12
257,40,12
258,360,14
259,65,16
260,698,12
261,19,12
262,663,12
263,504,14
264,520,12
265,625,3
266,550,22
267,639,17
268,148,5
269,686,3
270,699,19
271,17,8
272,334,19
273,696,21
274,4,19
275,442,16
276,700,14
277,25,16
278,202,12
279,385,13
280,103,10
281,26,22
282,430,15
283,55,6
284,176,14
285,615,3
286,373,12
287,187,12
288,433,12
289,189,1
290,109,9
291,284,15
292,128,14
293,185,4
294,319,3
295,503,15
296,434,12
297,252,13
298,658,12
299,144,12
