index,samples,labels
0,623,12
1,316,1
2,259,12
3,82,14
4,225,18
5,393,5
6,321,5
7,264,12
8,99,15
9,613,18
10,258,1
11,417,3
12,86,3
13,194,22
14,284,15
15,231,12
16,4,19
17,67,12
18,670,19
19,89,3
20,580,0
21,375,5
22,578,2
23,292,1
24,360,14
25,469,22
26,558,12
27,156,4
28,415,20
29,702,1
30,245,22
31,568,12
32,559,21
33,377,20
34,622,5
35,195,9
36,596,12
37,247,12
38,114,15
39,562,19
40,499,2
41,221,15
42,449,13
43,278,22
44,437,0
45,320,3
46,35,16
47,132,14
48,286,1
49,633,2
50,205,15
51,196,12
52,468,16
53,412,2
54,541,22
55,640,12
56,328,3
57,59,17
58,180,14
59,232,15
60,561,12
61,657,16
62,442,16
63,694,12
64,422,15
65,480,19
66,182,14
67,105,10
68,24,3
69,199,22
70,130,16
71,423,16
72,251,18
73,83,5
74,240,12
75,275,14
76,283,3
77,138,14
78,481,3
79,61,12
80,378,10
81,532,12
82,73,4
83,669,6
84,604,22
85,680,2
86,644,9
87,11,12
88,241,16
89,609,1
90,280,15
91,106,3
92,460,16
93,58,5
94,421,19
95,697,1
96,211,19
97,175,3
98,383,12
99,509,22
100,32,1
101,610,4
102,395,12
103,303,14
104,612,4
105,387,3
106,311,3
107,307,15
108,31,18
109,649,1
110,427,6
111,312,9
112,262,12
113,21,7
114,178,7
115,74,14
116,117,6
117,673,19
118,709,18
119,654,10
120,467,20
121,555,22
122,545,12
123,174,15
124,705,16
125,213,12
126,207,22
127,369,12
128,339,18
129,3,15
130,420,3
131,116,15
132,651,14
133,711,3
134,687,14
135,563,9
136,647,12
137,712,5
138,51,11
139,84,16
140,450,18
141,248,21
142,629,1
143,111,14
144,703,16
145,164,12
146,65,16
147,5,1
148,408,0
149,155,7
150,285,3
151,364,14
152,630,15
153,172,12
154,618,12
155,507,15
156,38,16
157,210,15
158,496,3
159,418,1
160,108,10
161,224,18
162,329,19
163,54,9
164,663,12
165,540,16
166,525,18
167,624,10
168,371,17
169,308,19
170,575,5
171,324,2
172,36,22
173,607,15
174,492,12
175,257,10
176,66,3
177,314,3
178,70,3
179,72,12
180,348,13
181,331,22
182,376,14
183,19,12
184,454,12
185,81,14
186,716,9
187,346,12
188,140,15
189,322,11
190,229,22
191,617,16
192,664,22
193,661,21
194,127,12
195,634,7
196,650,22
197,660,5
198,265,12
199,118,8
200,149,10
201,2,3
202,452,3
203,28,20
204,367,1
205,621,12
206,39,22
207,455,21
208,362,12
209,675,1
210,474,1
211,184,14
212,365,16
213,55,6
214,27,3
215,244,19
216,601,3
217,148,5
218,347,14
219,113,19
220,631,1
221,249,16
222,689,10
223,146,21
224,489,7
225,1,2
226,153,14
227,16,12
228,298,1
229,13,1
230,648,12
231,524,20
232,238,14
233,443,12
234,350,3
235,142,15
236,432,11
237,206,10
238,53,14
239,260,14
240,448,5
241,134,22
242,556,9
243,571,1
244,124,21
245,277,12
246,236,16
247,12,7
248,266,19
249,473,19
250,516,12
251,672,12
252,707,8
253,470,14
254,626,22
255,288,9
256,48,2
257,102,19
258,271,22
259,548,21
260,446,16
261,611,22
262,666,2
263,100,5
264,528,3
265,190,11
266,485,22
267,52,7
268,335,19
269,95,16
270,494,3
271,585,12
272,188,12
273,501,15
274,588,7
275,282,6
276,614,12
277,256,12
278,345,6
279,564,19
280,183,19
281,49,19
282,144,12
283,519,19
284,490,3
285,197,10
286,272,11
287,445,12
288,23,3
289,291,14
290,168,1
291,505,5
292,289,11
293,208,12
294,341,12
295,250,20
296,429,15
297,50,7
298,700,14
299,576,3
