index,samples,labels
0,379,12
1,77,12
2,699,19
3,15,12
4,624,10
5,233,22
6,337,22
7,5,1
8,269,12
9,474,1
10,355,14
11,206,10
12,273,12
13,341,12
14,305,18
15,442,16
16,124,21
17,46,19
18,87,12
19,639,17
20,365,16
21,282,6
22,284,15
23,198,14
24,118,8
25,666,2
26,599,3
27,614,12
28,327,22
29,48,2
30,384,3
31,339,18
32,645,3
33,17,8
34,30,7
35,100,5
36,270,12
37,184,14
38,306,22
39,448,5
40,238,14
41,69,22
42,288,9
43,176,14
44,318,5
45,490,3
46,367,1
47,342,1
48,665,16
49,533,14
50,2,3
51,411,16
52,54,9
53,704,16
54,168,1
55,444,15
56,676,12
57,517,14
58,25,16
59,154,19
60,272,11
61,544,0
62,78,7
63,518,9
64,519,19
65,351,3
66,391,5
67,277,12
68,152,12
69,452,3
70,29,12
71,602,5
72,57,3
73,402,7
74,81,14
75,636,12
76,456,14
77,430,15
78,287,3
79,230,12
80,556,9
81,713,10
82,641,0
83,688,12
84,289,11
85,183,19
86,584,10
87,45,9
88,714,16
89,189,1
90,385,13
91,537,1
92,457,8
93,700,14
94,64,16
95,663,12
96,149,10
97,507,15
98,28,20
99,710,3
100,93,12
101,557,2
102,170,12
103,443,12
104,429,15
105,356,12
106,488,14
107,392,19
108,139,12
109,296,1
110,554,14
111,441,3
112,560,12
113,538,12
114,310,8
115,691,0
116,110,10
117,253,1
118,190,11
119,343,1
120,250,20
121,696,21
122,479,3
123,91,18
124,651,14
125,418,1
126,246,14
127,461,3
128,374,1
129,217,1
130,68,14
131,508,18
132,687,14
133,612,4
134,334,19
135,242,13
136,166,15
137,524,20
138,120,12
139,503,15
140,52,7
141,434,12
142,414,1
143,403,3
144,424,6
145,660,5
146,101,21
147,370,3
148,301,15
149,311,3
150,71,22
151,261,14
152,706,5
153,162,15
154,585,12
155,530,3
156,263,16
157,239,12
158,498,12
159,404,12
160,577,3
161,281,22
162,621,12
163,117,6
164,600,4
165,268,1
166,425,15
167,505,5
168,354,14
169,463,12
170,330,3
171,60,12
172,650,22
173,400,22
174,686,3
175,608,16
176,294,19
177,531,15
178,357,12
179,484,22
180,50,7
181,630,15
182,550,22
183,109,9
184,129,12
185,605,5
186,583,16
187,136,14
188,715,18
189,143,3
190,601,3
191,291,14
192,115,12
193,155,7
194,70,3
195,682,22
196,536,1
197,471,12
198,63,12
199,438,12
200,142,15
201,515,12
202,573,22
203,255,12
204,203,22
205,705,16
206,569,18
207,319,3
208,202,12
209,619,12
210,74,14
211,586,5
212,359,18
213,212,2
214,103,10
215,440,12
216,42,18
217,588,7
218,227,12
219,161,15
220,371,17
221,616,15
222,472,16
223,590,14
224,662,12
225,500,15
226,315,14
227,126,12
228,486,3
229,466,14
230,373,12
231,522,12
232,8,3
233,122,16
234,542,12
235,625,3
236,535,12
237,432,11
238,653,12
239,153,14
240,495,14
241,119,3
242,413,12
243,497,17
244,615,3
245,394,22
246,201,12
247,464,10
248,396,14
249,453,10
250,576,3
251,223,12
252,38,16
253,480,19
254,141,12
255,167,14
256,215,0
257,575,5
258,113,19
259,326,15
260,279,21
261,626,22
262,177,12
263,56,19
264,673,19
265,476,3
266,26,22
267,618,12
268,256,12
269,200,12
270,140,15
271,362,12
272,553,1
273,405,12
274,494,3
275,478,5
276,151,12
277,389,22
278,617,16
279,664,22
280,135,14
281,229,22
282,433,12
283,112,12
284,196,12
285,34,22
286,313,19
287,274,12
288,148,5
289,36,22
290,344,14
291,150,12
292,340,2
293,252,13
294,450,18
295,43,12
296,549,14
297,454,12
298,338,1
299,164,12
