index,samples,labels
0,379,12
1,77,12
2,699,19
3,320,3
4,161,15
5,609,1
6,628,21
7,588,7
8,680,2
9,545,12
10,180,14
11,577,3
12,154,19
13,341,12
14,57,3
15,109,9
16,478,5
17,455,21
18,55,6
19,402,7
20,61,12
21,76,6
22,123,15
23,477,14
24,676,12
25,491,1
26,254,12
27,524,20
28,366,3
29,594,12
30,639,17
31,124,21
32,162,15
33,30,7
34,270,12
35,592,12
36,170,12
37,120,12
38,265,12
39,188,12
40,319,3
41,184,14
42,309,12
43,112,12
44,175,3
45,375,5
46,263,16
47,442,16
48,282,6
49,223,12
50,209,12
51,672,12
52,132,14
53,607,15
54,425,15
55,505,5
56,182,14
57,204,19
58,700,14
59,417,3
60,465,1
61,329,19
62,580,0
63,368,22
64,62,1
65,470,14
66,549,14
67,576,3
68,56,19
69,642,3
70,324,2
71,380,12
72,251,18
73,453,10
74,264,12
75,333,12
76,687,14
77,82,14
78,203,22
79,503,15
80,6,12
81,235,18
82,126,12
83,47,7
84,79,19
85,463,12
86,163,12
87,351,3
88,544,0
89,300,12
90,332,12
91,495,14
92,359,18
93,148,5
94,361,16
95,12,7
96,496,3
97,685,15
98,272,11
99,370,3
100,490,3
101,556,9
102,244,19
103,694,12
104,661,21
105,403,3
106,107,12
107,413,12
108,91,18
109,46,19
110,572,12
111,641,0
112,308,19
113,395,12
114,105,10
115,23,3
116,397,3
117,151,12
118,696,21
119,121,21
120,18,12
121,327,22
122,521,14
123,526,12
124,390,3
125,153,14
126,585,12
127,441,3
128,582,12
129,509,22
130,427,6
131,197,10
132,134,22
133,275,14
134,356,12
135,649,1
136,226,12
137,316,1
138,531,15
139,586,5
140,283,3
141,228,13
142,595,12
143,141,12
144,675,1
145,20,16
146,393,5
147,233,22
148,307,15
149,515,12
150,116,15
151,45,9
152,596,12
153,541,22
154,658,12
155,211,19
156,673,19
157,406,15
158,633,2
159,145,12
160,623,12
161,234,18
162,396,14
163,33,12
164,371,17
165,431,12
166,330,3
167,322,11
168,452,3
169,650,22
170,374,1
171,144,12
172,177,12
173,434,12
174,100,5
175,338,1
176,337,22
177,447,12
178,523,3
179,38,16
180,31,18
181,245,22
182,164,12
183,349,12
184,644,9
185,486,3
186,323,15
187,143,3
188,312,9
189,419,15
190,674,1
191,500,15
192,707,8
193,559,21
194,67,12
195,620,12
196,433,12
197,63,12
198,310,8
199,298,1
200,553,1
201,352,14
202,72,12
203,216,12
204,288,9
205,535,12
206,489,7
207,435,12
208,293,22
209,325,15
210,166,15
211,629,1
212,424,6
213,3,15
214,284,15
215,670,19
216,367,1
217,115,12
218,16,12
219,679,12
220,525,18
221,389,22
222,303,14
223,171,9
224,66,3
225,519,19
226,257,10
227,215,0
228,114,15
229,294,19
230,467,20
231,69,22
232,640,12
233,579,14
234,657,16
235,575,5
236,643,12
237,128,14
238,8,3
239,567,12
240,632,13
241,78,7
242,212,2
243,573,22
244,627,12
245,155,7
246,346,12
247,139,12
248,430,15
249,350,3
250,590,14
251,342,1
252,86,3
253,616,15
254,104,3
255,2,3
256,587,3
257,108,10
258,537,1
259,68,14
260,248,21
261,335,19
262,604,22
263,0,12
264,274,12
265,75,15
266,445,12
267,621,12
268,40,12
269,269,12
270,260,14
271,539,15
272,229,22
273,677,3
274,262,12
275,510,12
276,280,15
277,462,12
278,44,21
279,36,22
280,198,14
281,516,12
282,414,1
283,429,15
284,21,7
285,497,17
286,64,16
287,285,3
288,296,1
289,538,12
290,232,15
291,150,12
292,357,12
293,133,22
294,113,19
295,668,12
296,635,15
297,137,15
298,29,12
299,400,22
