index,samples,labels
0,623,12
1,613,18
2,194,22
3,513,15
4,82,14
5,384,3
6,595,12
7,213,12
8,280,15
9,660,5
10,135,14
11,179,5
12,702,1
13,89,3
14,196,12
15,605,5
16,304,12
17,644,9
18,687,14
19,714,16
20,712,5
21,284,15
22,652,12
23,559,21
24,11,12
25,377,20
26,362,12
27,277,12
28,375,5
29,437,0
30,64,16
31,604,22
32,534,22
33,27,3
34,464,10
35,125,12
36,516,12
37,408,0
38,225,18
39,674,1
40,700,14
41,208,12
42,569,18
43,356,12
44,354,14
45,452,3
46,246,14
47,450,18
48,499,2
49,631,1
50,287,3
51,369,12
52,242,13
53,288,9
54,361,16
55,412,2
56,54,9
57,617,16
58,580,0
59,411,16
60,14,3
61,484,22
62,558,12
63,666,2
64,432,11
65,162,15
66,78,7
67,624,10
68,438,12
69,694,12
70,343,1
71,56,19
72,81,14
73,37,19
74,289,11
75,339,18
76,655,2
77,344,14
78,573,22
79,466,14
80,527,16
81,20,16
82,521,14
83,586,5
84,656,2
85,681,8
86,235,18
87,47,7
88,44,21
89,159,16
90,514,5
91,603,16
92,90,11
93,171,9
94,80,15
95,598,22
96,234,18
97,428,3
98,302,14
99,226,12
100,381,14
101,224,18
102,383,12
103,707,8
104,222,6
105,103,10
106,556,9
107,504,14
108,704,16
109,392,19
110,487,1
111,635,15
112,255,12
113,654,10
114,688,12
115,30,7
116,370,3
117,45,9
118,48,2
119,291,14
120,296,1
121,345,6
122,46,19
123,115,12
124,21,7
125,68,14
126,279,21
127,576,3
128,186,11
129,205,15
130,522,12
131,599,3
132,471,12
133,682,22
134,203,22
135,699,19
136,593,15
137,195,9
138,472,16
139,53,14
140,63,12
141,243,2
142,557,2
143,152,12
144,336,5
145,176,14
146,252,13
147,639,17
148,538,12
149,150,12
150,261,14
151,66,3
152,602,5
153,327,22
154,263,16
155,385,13
156,112,12
157,658,12
158,50,7
159,185,4
160,530,3
161,134,22
162,100,5
163,351,3
164,429,15
165,217,1
166,227,12
167,519,19
168,585,12
169,154,19
170,151,12
171,489,7
172,313,19
173,335,19
174,334,19
175,434,12
176,405,12
177,102,19
178,716,9
179,497,17
180,650,22
181,183,19
182,691,0
183,396,14
184,271,22
185,533,14
186,430,15
187,443,12
188,564,19
189,123,15
190,24,3
191,501,15
192,73,4
193,166,15
194,696,21
195,163,12
196,184,14
197,371,17
198,146,21
199,330,3
200,215,0
201,565,13
202,675,1
203,70,3
204,256,12
205,495,14
206,600,4
207,641,0
208,25,16
209,77,12
210,290,15
211,563,9
212,29,12
213,314,3
214,548,21
215,12,7
216,550,22
217,446,16
218,615,3
219,197,10
220,503,15
221,583,16
222,567,12
223,198,14
224,610,4
225,202,12
226,17,8
227,28,20
228,355,14
229,322,11
230,329,19
231,390,3
232,319,3
233,555,22
234,341,12
235,188,12
236,406,15
237,305,18
238,303,14
239,318,5
240,588,7
241,167,14
242,153,14
243,294,19
244,236,16
245,367,1
246,298,1
247,52,7
248,540,16
249,174,15
250,614,12
251,42,18
252,109,9
253,168,1
254,402,7
255,71,22
256,625,3
257,328,3
258,324,2
259,404,12
260,554,14
261,250,20
262,440,12
263,36,22
264,91,18
265,204,19
266,448,5
267,282,6
268,189,1
269,456,14
270,1,2
271,451,16
272,525,18
273,629,1
274,427,6
275,374,1
276,418,1
277,95,16
278,348,13
279,577,3
280,140,15
281,249,16
282,206,10
283,211,19
284,636,12
285,244,19
286,453,10
287,175,3
288,689,10
289,444,15
290,365,16
291,32,1
292,38,16
293,485,22
294,715,18
295,97,3
296,120,12
297,465,1
298,129,12
299,470,14
