index,samples,labels
0,175,12
1,197,3
2,539,16
3,504,15
4,213,18
5,351,12
6,186,10
7,403,21
8,543,19
9,349,18
10,372,13
11,167,15
12,68,12
13,442,17
14,400,16
15,525,2
16,76,3
17,257,12
18,6,12
19,459,19
20,45,14
21,335,21
22,156,7
23,191,22
24,116,16
25,200,4
26,304,5
27,327,12
28,214,13
29,487,12
30,521,19
31,142,3
32,511,22
33,208,12
34,75,3
35,275,12
36,427,19
37,399,12
38,374,15
39,298,12
40,481,15
41,340,12
42,422,2
43,159,12
44,97,5
45,243,22
46,387,7
47,526,15
48,238,6
49,528,15
50,20,12
51,451,15
52,4,19
53,301,1
54,36,4
55,133,15
56,316,17
57,205,12
58,255,10
59,367,12
60,535,12
61,519,1
62,430,3
63,466,15
64,141,15
65,91,22
66,490,6
67,454,12
68,24,14
69,131,22
70,74,13
71,232,12
72,505,12
73,53,17
74,311,12
75,14,14
76,402,12
77,122,18
78,270,3
79,456,1
80,384,22
81,375,12
82,126,14
83,165,12
84,145,3
85,323,12
86,362,12
87,472,1
88,370,12
89,41,12
90,358,12
91,306,7
92,354,1
93,549,14
94,293,3
95,63,10
96,51,12
97,258,12
98,559,3
99,527,19
100,47,3
101,158,16
102,501,12
103,482,10
104,410,19
105,344,12
106,166,15
107,66,9
108,204,12
109,461,12
110,244,12
111,183,10
112,55,6
113,169,14
114,262,7
115,247,10
116,121,3
117,227,6
118,216,1
119,34,12
120,359,20
121,411,16
122,320,3
123,242,3
124,276,0
125,289,12
126,15,5
127,172,1
128,544,15
129,134,13
130,139,12
131,485,14
132,455,12
133,307,9
134,22,14
135,7,15
136,441,20
137,67,11
138,439,12
139,137,12
140,245,11
141,234,12
142,112,2
143,201,12
144,352,1
145,101,19
146,318,22
147,449,12
148,360,3
149,513,16
150,308,7
151,111,15
152,219,12
153,499,15
154,431,19
155,424,12
156,341,12
157,254,15
158,164,2
159,554,15
160,102,2
161,512,12
162,280,14
163,114,12
164,265,12
165,420,15
166,328,12
167,426,7
168,450,15
169,484,0
170,86,10
171,560,16
172,48,1
173,106,3
174,415,22
175,170,12
176,312,3
177,231,18
178,62,8
179,332,1
180,325,0
181,84,15
182,303,5
183,26,16
184,507,3
185,364,3
186,282,17
187,329,3
188,463,19
189,489,15
190,502,12
191,409,8
192,394,1
193,545,1
194,149,1
195,397,1
196,401,3
197,0,3
198,259,2
199,29,2
200,436,12
201,220,3
202,365,19
203,368,15
204,192,15
205,326,22
206,176,16
207,129,22
208,71,13
209,398,22
210,150,22
211,506,16
212,5,16
213,90,14
214,104,1
215,493,18
216,405,17
217,413,7
218,154,19
219,30,19
220,230,11
221,70,3
222,556,6
223,284,14
224,546,18
225,117,16
226,290,19
227,371,3
228,418,16
229,268,10
230,285,10
231,291,15
232,523,22
233,534,11
234,551,22
235,40,19
236,315,14
237,557,19
238,294,19
239,105,7
240,23,14
241,414,22
242,378,14
243,87,3
244,155,1
245,297,1
246,480,1
247,199,1
248,260,3
249,444,10
250,417,3
251,296,14
252,412,19
253,376,19
254,195,14
255,272,3
256,536,3
257,81,16
258,530,14
259,190,7
260,491,5
261,408,5
262,123,4
263,471,16
264,445,12
265,495,6
266,532,18
267,21,11
268,476,3
269,469,21
270,157,7
271,85,19
272,550,1
273,498,18
274,193,21
275,9,14
276,218,3
277,25,5
278,509,22
279,10,2
280,391,0
281,189,15
282,223,15
283,555,18
284,2,12
285,93,18
286,334,15
287,322,13
288,229,5
289,185,7
290,209,15
291,110,22
292,203,13
293,31,21
294,60,15
295,508,6
296,160,1
297,432,20
298,194,19
299,138,19
