index,samples,labels
0,175,12
1,335,21
2,141,15
3,504,15
4,22,14
5,197,3
6,234,12
7,404,1
8,191,22
9,400,16
10,171,14
11,541,12
12,215,12
13,194,19
14,185,7
15,176,16
16,94,12
17,69,12
18,0,3
19,350,22
20,56,16
21,417,3
22,204,12
23,320,3
24,431,19
25,60,15
26,362,12
27,188,8
28,206,15
29,145,3
30,219,12
31,508,6
32,243,22
33,530,14
34,6,12
35,408,5
36,285,10
37,272,3
38,216,1
39,426,7
40,157,7
41,62,8
42,160,1
43,193,21
44,189,15
45,495,6
46,159,12
47,475,9
48,359,20
49,557,19
50,452,20
51,58,5
52,59,22
53,229,5
54,277,14
55,29,2
56,121,3
57,95,14
58,251,18
59,434,9
60,154,19
61,118,3
62,36,4
63,256,19
64,81,16
65,498,18
66,177,12
67,307,9
68,480,1
69,284,14
70,104,1
71,375,12
72,411,16
73,471,16
74,86,10
75,547,14
76,421,22
77,208,12
78,227,6
79,156,7
80,543,19
81,111,15
82,268,10
83,482,10
84,388,10
85,103,21
86,93,18
87,40,19
88,117,16
89,254,15
90,491,5
91,21,11
92,129,22
93,419,14
94,413,7
95,5,16
96,321,7
97,545,1
98,164,2
99,370,12
100,423,21
101,444,10
102,221,12
103,7,15
104,389,3
105,325,0
106,509,22
107,67,11
108,174,12
109,53,17
110,539,16
111,102,2
112,500,3
113,48,1
114,387,7
115,391,0
116,379,5
117,489,15
118,230,11
119,282,17
120,481,15
121,278,9
122,312,3
123,342,13
124,52,12
125,252,6
126,168,21
127,105,7
128,70,3
129,406,19
130,540,16
131,398,22
132,199,1
133,184,15
134,220,3
135,126,14
136,316,17
137,328,12
138,242,3
139,427,19
140,318,22
141,271,21
142,429,1
143,385,6
144,266,14
145,172,1
146,372,13
147,473,15
148,414,22
149,54,14
150,395,12
151,108,12
152,347,14
153,364,3
154,497,15
155,30,19
156,330,21
157,2,12
158,506,16
159,460,14
160,407,21
161,422,2
162,274,12
163,308,7
164,485,14
165,518,12
166,360,3
167,356,12
168,71,13
169,142,3
170,536,3
171,183,10
172,418,16
173,214,13
174,558,7
175,45,14
176,463,19
177,250,15
178,190,7
179,134,13
180,550,1
181,378,14
182,235,9
183,490,6
184,371,3
185,35,10
186,341,12
187,326,22
188,382,12
189,16,16
190,523,22
191,61,5
192,148,16
193,19,14
194,315,14
195,237,9
196,281,14
197,77,12
198,241,3
199,309,5
200,374,15
201,338,3
202,253,19
203,78,12
204,534,11
205,133,15
206,116,16
207,484,0
208,289,12
209,23,14
210,544,15
211,72,2
212,462,12
213,290,19
214,260,3
215,211,22
216,420,15
217,90,14
218,551,22
219,532,18
220,546,18
221,459,19
222,152,9
223,503,14
224,46,5
225,464,12
226,4,19
227,472,1
228,556,6
229,502,12
230,136,3
231,293,3
232,365,19
233,245,11
234,201,12
235,31,21
236,112,2
237,42,14
238,200,4
239,456,1
240,101,19
241,477,14
242,182,12
243,1,5
244,296,14
245,554,15
246,432,20
247,448,16
248,264,2
249,239,10
250,286,12
251,560,16
252,553,15
253,301,1
254,202,12
255,66,9
256,323,12
257,89,12
258,339,14
259,297,1
260,55,6
261,269,22
262,443,14
263,436,12
264,433,8
265,453,10
266,304,5
267,255,10
268,115,1
269,10,2
270,99,22
271,57,18
272,466,15
273,442,17
274,403,21
275,225,22
276,505,12
277,311,12
278,355,3
279,144,12
280,305,10
281,542,14
282,92,12
283,49,22
284,412,19
285,476,3
286,357,12
287,376,19
288,486,3
289,373,18
290,300,12
291,457,3
292,123,4
293,226,12
294,306,7
295,332,1
296,180,12
297,231,18
298,552,6
299,85,19
