index,samples,labels
0,217,12
1,456,1
2,530,14
3,384,22
4,58,5
5,162,15
6,246,12
7,39,12
8,474,14
9,364,3
10,52,12
11,161,12
12,181,12
13,257,12
14,26,16
15,221,12
16,532,18
17,341,12
18,85,19
19,488,12
20,139,12
21,447,12
22,236,12
23,314,12
24,358,12
25,123,4
26,324,12
27,100,12
28,458,12
29,540,16
30,253,19
31,393,12
32,278,9
33,50,22
34,255,10
35,302,12
36,510,12
37,336,12
38,57,18
39,313,2
40,240,12
41,265,12
42,531,12
43,340,12
44,135,12
45,484,0
46,205,12
47,163,12
48,140,12
49,82,12
50,92,12
51,33,14
52,351,12
53,487,12
54,34,12
55,27,12
56,234,12
57,65,3
58,554,15
59,17,12
60,286,12
61,38,12
62,219,12
63,187,12
64,557,19
65,137,12
66,151,12
67,449,12
68,113,12
69,125,12
70,159,12
71,43,3
72,399,12
73,12,22
74,437,22
75,232,12
76,146,12
77,385,6
78,107,14
79,462,12
80,434,9
81,357,12
82,548,12
83,492,12
84,77,12
85,464,12
86,274,12
87,275,12
88,396,12
89,394,1
90,327,12
91,115,1
92,424,12
93,331,12
94,439,12
95,208,12
96,454,12
97,180,12
98,158,16
99,517,12
100,89,12
101,130,12
102,249,12
103,549,14
104,126,14
105,377,16
106,504,15
107,381,22
108,431,19
109,152,9
110,7,15
111,75,3
112,330,21
113,144,12
114,212,12
115,299,14
116,316,17
117,56,16
118,179,12
119,93,18
120,3,12
121,317,5
122,400,16
123,195,14
124,72,2
125,446,12
126,223,15
127,14,14
128,79,12
129,262,7
130,120,12
131,254,15
132,210,3
133,467,14
134,202,12
135,515,3
136,430,3
137,382,12
138,320,3
139,109,22
140,433,8
141,402,12
142,337,14
143,519,1
144,215,12
145,138,19
146,298,12
147,291,15
148,516,12
149,346,12
150,207,12
151,353,20
152,114,12
153,37,12
154,521,19
155,88,12
156,319,12
157,19,14
158,478,12
159,527,19
160,8,15
161,460,14
162,300,12
163,417,3
164,238,6
165,170,12
166,239,10
167,224,14
168,132,16
169,465,12
170,64,22
171,441,20
172,395,12
173,280,14
174,270,3
175,18,12
176,194,19
177,148,16
178,218,3
179,169,14
180,214,13
181,380,12
182,542,14
183,372,13
184,258,12
185,438,1
186,211,22
187,310,14
188,369,12
189,482,10
190,143,12
191,24,14
192,142,3
193,390,22
194,289,12
195,304,5
196,279,16
197,435,21
198,185,7
199,31,21
200,529,12
201,131,22
202,209,15
203,342,13
204,226,12
205,22,14
206,292,12
207,555,18
208,20,12
209,203,13
210,200,4
211,466,15
212,51,12
213,237,9
214,305,10
215,242,3
216,171,14
217,392,3
218,294,19
219,15,5
220,440,14
221,256,19
222,178,5
223,408,5
224,558,7
225,432,20
226,361,1
227,176,16
228,334,15
229,128,10
230,425,12
231,87,3
232,344,12
233,415,22
234,47,3
235,273,12
236,366,22
237,25,5
238,522,12
239,535,12
240,410,19
241,197,3
242,55,6
243,311,12
244,201,12
245,281,14
246,269,22
247,157,7
248,244,12
249,323,12
250,509,22
251,309,5
252,528,15
253,442,17
254,165,12
255,375,12
256,322,13
257,182,12
258,16,16
259,445,12
260,35,10
261,404,1
262,511,22
263,538,0
264,259,2
265,229,5
266,367,12
267,141,15
268,356,12
269,247,10
270,233,12
271,485,14
272,347,14
273,386,12
274,350,22
275,512,12
276,505,12
277,76,3
278,263,13
279,32,12
280,78,12
281,370,12
282,343,22
283,204,12
284,277,14
285,271,21
286,61,5
287,136,3
288,288,3
289,106,3
290,428,22
291,45,14
292,352,1
293,414,22
294,124,3
295,468,13
296,403,21
297,150,22
298,44,12
299,248,12
