index,samples,labels
0,217,12
1,384,22
2,393,12
3,456,1
4,379,5
5,340,12
6,241,3
7,557,19
8,57,18
9,364,3
10,227,6
11,58,5
12,162,15
13,408,5
14,466,15
15,530,14
16,127,12
17,168,21
18,52,12
19,160,1
20,117,16
21,543,19
22,491,5
23,489,15
24,281,14
25,100,12
26,118,3
27,92,12
28,452,20
29,518,12
30,347,14
31,293,3
32,99,22
33,545,1
34,360,3
35,183,10
36,323,12
37,335,21
38,250,15
39,539,16
40,71,13
41,53,17
42,10,2
43,398,22
44,231,18
45,309,5
46,29,2
47,230,11
48,359,20
49,326,22
50,6,12
51,272,3
52,342,13
53,7,15
54,355,3
55,67,11
56,475,9
57,529,12
58,361,1
59,48,1
60,180,12
61,498,18
62,371,3
63,532,18
64,345,3
65,554,15
66,328,12
67,193,21
68,284,14
69,330,21
70,439,12
71,84,15
72,255,10
73,252,6
74,174,12
75,251,18
76,304,5
77,105,7
78,27,12
79,164,2
80,220,3
81,40,19
82,154,19
83,325,0
84,198,14
85,102,2
86,285,10
87,375,12
88,500,3
89,282,17
90,315,14
91,495,6
92,388,10
93,411,16
94,317,5
95,420,15
96,172,1
97,308,7
98,547,14
99,502,12
100,121,3
101,129,22
102,81,16
103,103,21
104,111,15
105,224,14
106,484,0
107,112,2
108,36,4
109,483,12
110,412,19
111,9,14
112,373,18
113,19,14
114,332,1
115,2,12
116,264,2
117,446,12
118,556,6
119,536,3
120,64,22
121,481,15
122,79,12
123,136,3
124,4,19
125,85,19
126,537,22
127,471,16
128,123,4
129,419,14
130,409,8
131,8,15
132,184,15
133,472,1
134,142,3
135,189,15
136,490,6
137,501,12
138,444,10
139,235,9
140,551,22
141,254,15
142,461,12
143,13,3
144,122,18
145,356,12
146,546,18
147,116,16
148,0,3
149,270,3
150,321,7
151,544,15
152,499,15
153,93,18
154,199,1
155,253,19
156,374,15
157,418,16
158,485,14
159,134,13
160,108,12
161,120,12
162,5,16
163,426,7
164,186,10
165,427,19
166,156,7
167,213,18
168,421,22
169,318,22
170,242,3
171,387,7
172,243,22
173,155,1
174,86,10
175,365,19
176,549,14
177,296,14
178,540,16
179,59,22
180,70,3
181,266,14
182,397,1
183,14,14
184,104,1
185,148,16
186,442,17
187,301,1
188,88,12
189,23,14
190,381,22
191,463,19
192,307,9
193,476,3
194,407,21
195,89,12
196,90,14
197,493,18
198,182,12
199,158,16
200,260,3
201,256,19
202,126,14
203,298,12
204,290,19
205,42,14
206,380,12
207,91,22
208,313,2
209,429,1
210,453,10
211,20,12
212,319,12
213,35,10
214,21,11
215,338,3
216,523,22
217,521,19
218,525,2
219,339,14
220,448,16
221,277,14
222,550,1
223,389,3
224,196,5
225,233,12
226,95,14
227,542,14
228,77,12
229,306,7
230,62,8
231,469,21
232,423,21
233,422,2
234,497,15
235,74,13
236,229,5
237,312,3
238,262,7
239,106,3
240,54,14
241,12,22
242,78,12
243,26,16
244,553,15
245,482,10
246,506,16
247,190,7
248,560,16
249,16,16
250,101,19
251,434,9
252,441,20
253,278,9
254,218,3
255,211,22
256,383,1
257,130,12
258,141,15
259,237,9
260,267,14
261,61,5
262,509,22
263,413,7
264,263,13
265,391,0
266,305,10
267,470,12
268,322,13
269,55,6
270,367,12
271,378,14
272,436,12
273,225,22
274,175,12
275,1,5
276,459,19
277,259,2
278,477,14
279,247,10
280,311,12
281,30,19
282,297,1
283,445,12
284,451,15
285,428,22
286,480,1
287,479,11
288,519,1
289,348,15
290,76,3
291,47,3
292,31,21
293,152,9
294,552,6
295,271,21
296,97,5
297,508,6
298,432,20
299,363,3
