index,samples,labels
0,175,12
1,197,3
2,325,0
3,178,5
4,467,14
5,560,16
6,91,22
7,299,14
8,402,12
9,388,10
10,143,12
11,507,3
12,270,3
13,150,22
14,31,21
15,65,3
16,88,12
17,8,15
18,126,14
19,432,20
20,367,12
21,90,14
22,237,9
23,192,15
24,3,12
25,129,22
26,363,3
27,306,7
28,404,1
29,14,14
30,25,5
31,479,11
32,84,15
33,128,10
34,185,7
35,72,2
36,435,21
37,63,10
38,188,8
39,280,14
40,245,11
41,433,8
42,522,12
43,191,22
44,45,14
45,515,3
46,294,19
47,0,3
48,46,5
49,527,19
50,209,15
51,441,20
52,405,17
53,334,15
54,512,12
55,234,12
56,203,13
57,331,12
58,213,18
59,400,16
60,416,12
61,516,12
62,541,12
63,152,9
64,350,22
65,552,6
66,171,14
67,258,12
68,194,19
69,362,12
70,69,12
71,451,15
72,538,0
73,322,13
74,386,12
75,176,16
76,276,0
77,110,22
78,296,14
79,37,12
80,62,8
81,381,22
82,263,13
83,123,4
84,138,19
85,214,13
86,97,5
87,259,2
88,254,15
89,34,12
90,513,16
91,261,5
92,201,12
93,559,3
94,195,14
95,403,21
96,457,3
97,555,18
98,460,14
99,320,3
100,428,22
101,430,3
102,119,3
103,349,18
104,68,12
105,459,19
106,279,16
107,11,12
108,26,16
109,22,14
110,60,15
111,511,22
112,204,12
113,316,17
114,226,12
115,319,12
116,546,18
117,132,16
118,556,6
119,392,3
120,167,15
121,431,19
122,253,19
123,94,12
124,312,3
125,519,1
126,186,10
127,397,1
128,229,5
129,12,22
130,291,15
131,215,12
132,170,12
133,395,12
134,114,12
135,15,5
136,446,12
137,321,7
138,158,16
139,47,3
140,497,15
141,476,3
142,157,7
143,503,14
144,376,19
145,417,3
146,496,15
147,43,3
148,148,16
149,262,7
150,436,12
151,24,14
152,414,22
153,131,22
154,44,12
155,56,16
156,93,18
157,534,11
158,85,19
159,465,12
160,20,12
161,303,5
162,21,11
163,116,16
164,469,21
165,80,12
166,142,3
167,377,16
168,288,3
169,165,12
170,429,1
171,211,22
172,23,14
173,525,2
174,409,8
175,521,19
176,265,12
177,438,1
178,390,22
179,523,22
180,412,19
181,169,14
182,483,12
183,28,4
184,440,14
185,378,14
186,558,7
187,442,17
188,87,3
189,524,15
190,149,1
191,517,12
192,482,10
193,443,14
194,218,3
195,106,3
196,444,10
197,155,1
198,182,12
199,341,12
200,500,3
201,301,1
202,136,3
203,83,12
204,313,2
205,260,3
206,220,3
207,506,16
208,212,12
209,278,9
210,502,12
211,107,14
212,425,12
213,73,12
214,202,12
215,51,12
216,368,15
217,396,12
218,147,22
219,75,3
220,354,1
221,153,22
222,173,15
223,311,12
224,55,6
225,41,12
226,445,12
227,242,3
228,13,3
229,352,1
230,494,12
231,223,15
232,374,15
233,179,12
234,505,12
235,365,19
236,551,22
237,130,12
238,61,5
239,383,1
240,514,3
241,154,19
242,271,21
243,196,5
244,66,9
245,235,9
246,356,12
247,124,3
248,222,12
249,499,15
250,387,7
251,535,12
252,553,15
253,448,16
254,283,22
255,554,15
256,520,12
257,473,15
258,277,14
259,304,5
260,528,15
261,484,0
262,434,9
263,339,14
264,338,3
265,394,1
266,247,10
267,251,18
268,79,12
269,470,12
270,329,3
271,86,10
272,453,10
273,326,22
274,463,19
275,413,7
276,317,5
277,305,10
278,1,5
279,282,17
280,96,15
281,542,14
282,462,12
283,269,22
284,373,18
285,27,12
286,224,14
287,474,14
288,310,14
289,472,1
290,199,1
291,508,6
292,190,7
293,207,12
294,410,19
295,16,16
296,104,1
297,422,2
298,122,18
299,81,16
