index,samples,labels
0,175,12
1,197,3
2,539,16
3,504,15
4,213,18
5,351,12
6,186,10
7,403,21
8,543,19
9,349,18
10,372,13
11,167,15
12,68,12
13,442,17
14,400,16
15,525,2
16,76,3
17,257,12
18,6,12
19,459,19
20,45,14
21,335,21
22,156,7
23,191,22
24,116,16
25,200,4
26,304,5
27,327,12
28,214,13
29,487,12
30,521,19
31,142,3
32,511,22
33,208,12
34,75,3
35,275,12
36,427,19
37,399,12
38,374,15
39,298,12
40,481,15
41,340,12
42,422,2
43,159,12
44,97,5
45,243,22
46,387,7
47,526,15
48,238,6
49,528,15
50,20,12
51,451,15
52,4,19
53,301,1
54,36,4
55,133,15
56,316,17
57,205,12
58,255,10
59,367,12
60,535,12
61,519,1
62,430,3
63,466,15
64,141,15
65,91,22
66,490,6
67,454,12
68,24,14
69,131,22
70,74,13
71,232,12
72,505,12
73,53,17
74,311,12
75,14,14
76,402,12
77,122,18
78,270,3
79,456,1
80,384,22
81,375,12
82,126,14
83,165,12
84,145,3
85,323,12
86,362,12
87,472,1
88,370,12
89,41,12
90,358,12
91,306,7
92,354,1
93,549,14
94,293,3
95,63,10
96,51,12
97,258,12
98,559,3
99,527,19
100,47,3
101,158,16
102,501,12
103,482,10
104,410,19
105,344,12
106,166,15
107,66,9
108,204,12
109,461,12
110,244,12
111,183,10
112,55,6
113,169,14
114,262,7
115,247,10
116,121,3
117,227,6
118,216,1
119,34,12
120,359,20
121,411,16
122,320,3
123,242,3
124,276,0
125,289,12
126,15,5
127,172,1
128,544,15
129,134,13
130,139,12
131,485,14
132,455,12
133,307,9
134,22,14
135,7,15
136,441,20
137,67,11
138,439,12
139,137,12
140,245,11
141,234,12
142,112,2
143,201,12
144,352,1
145,101,19
146,318,22
147,449,12
148,360,3
149,513,16
150,308,7
151,111,15
152,219,12
153,499,15
154,431,19
155,424,12
156,341,12
157,254,15
158,164,2
159,554,15
160,102,2
161,512,12
162,280,14
163,114,12
164,265,12
165,420,15
166,328,12
167,426,7
168,450,15
169,484,0
170,86,10
171,560,16
172,48,1
173,106,3
174,415,22
175,170,12
176,312,3
177,231,18
178,62,8
179,171,14
180,64,22
181,534,11
182,59,22
183,522,12
184,432,20
185,140,12
186,551,22
187,274,12
188,345,3
189,396,12
190,405,17
191,515,3
192,1,5
193,436,12
194,314,12
195,73,12
196,230,11
197,248,12
198,391,0
199,523,22
200,95,14
201,488,12
202,412,19
203,38,12
204,240,12
205,12,22
206,386,12
207,154,19
208,398,22
209,493,18
210,474,14
211,557,19
212,11,12
213,381,22
214,224,14
215,202,12
216,334,15
217,371,3
218,283,22
219,72,2
220,17,12
221,496,15
222,286,12
223,206,15
224,9,14
225,236,12
226,23,14
227,268,10
228,497,15
229,61,5
230,117,16
231,155,1
232,87,3
233,542,14
234,380,12
235,228,3
236,157,7
237,545,1
238,305,10
239,302,12
240,84,15
241,218,3
242,369,12
243,184,15
244,132,16
245,42,14
246,119,3
247,90,14
248,58,5
249,125,12
250,418,16
251,179,12
252,233,12
253,462,12
254,110,22
255,148,16
256,146,12
257,235,9
258,18,12
259,339,14
260,185,7
261,393,12
262,350,22
263,346,12
264,69,12
265,508,6
266,494,12
267,88,12
268,531,12
269,529,12
270,357,12
271,291,15
272,246,12
273,33,14
274,478,12
275,10,2
276,271,21
277,317,5
278,483,12
279,138,19
280,471,16
281,209,15
282,416,12
283,182,12
284,190,7
285,32,12
286,281,14
287,220,3
288,195,14
289,152,9
290,388,10
291,435,21
292,404,1
293,81,16
294,507,3
295,558,7
296,347,14
297,31,21
298,342,13
299,429,1
