index,samples,labels
0,217,12
1,109,22
2,364,3
3,175,12
4,466,15
5,483,12
6,393,12
7,358,12
8,14,14
9,394,1
10,183,10
11,473,15
12,507,3
13,235,9
14,82,12
15,96,15
16,213,18
17,484,0
18,124,3
19,1,5
20,303,5
21,498,18
22,323,12
23,50,22
24,365,19
25,208,12
26,556,6
27,269,22
28,129,22
29,546,18
30,227,6
31,457,3
32,116,16
33,332,1
34,387,7
35,247,10
36,499,15
37,405,17
38,281,14
39,12,22
40,98,3
41,196,5
42,455,12
43,308,7
44,91,22
45,479,11
46,434,9
47,331,12
48,112,2
49,472,1
50,376,19
51,97,5
52,65,3
53,251,18
54,516,12
55,552,6
56,306,7
57,193,21
58,238,6
59,476,3
60,532,18
61,88,12
62,204,12
63,185,7
64,460,14
65,400,16
66,409,8
67,254,15
68,350,22
69,157,7
70,215,12
71,500,3
72,511,22
73,508,6
74,138,19
75,169,14
76,155,1
77,42,14
78,504,15
79,465,12
80,413,7
81,310,14
82,16,16
83,438,1
84,425,12
85,242,3
86,267,14
87,132,16
88,3,12
89,195,14
90,442,17
91,262,7
92,31,21
93,521,19
94,410,19
95,141,15
96,20,12
97,178,5
98,541,12
99,544,15
100,390,22
101,37,12
102,273,12
103,245,11
104,15,5
105,509,22
106,430,3
107,203,13
108,209,15
109,201,12
110,392,3
111,60,15
112,339,14
113,389,3
114,296,14
115,527,19
116,440,14
117,512,12
118,279,16
119,200,4
120,171,14
121,5,16
122,189,15
123,446,12
124,363,3
125,186,10
126,271,21
127,403,21
128,421,22
129,480,1
130,407,21
131,121,3
132,435,21
133,280,14
134,36,4
135,338,3
136,428,22
137,69,12
138,156,7
139,55,6
140,22,14
141,305,10
142,558,7
143,453,10
144,497,15
145,54,14
146,291,15
147,234,12
148,21,11
149,256,19
150,418,16
151,277,14
152,218,3
153,318,22
154,395,12
155,378,14
156,429,1
157,154,19
158,4,19
159,148,16
160,560,16
161,469,21
162,101,19
163,248,12
164,226,12
165,433,8
166,11,12
167,519,1
168,47,3
169,551,22
170,555,18
171,184,15
172,540,16
173,24,14
174,294,19
175,506,16
176,321,7
177,297,1
178,152,9
179,468,13
180,90,14
181,25,5
182,312,3
183,448,16
184,68,12
185,386,12
186,307,9
187,73,12
188,441,20
189,420,15
190,214,13
191,56,16
192,94,12
193,417,3
194,72,2
195,451,15
196,432,20
197,194,19
198,494,12
199,542,14
200,334,15
201,237,9
202,134,13
203,61,5
204,270,3
205,423,21
206,243,22
207,427,19
208,311,12
209,319,12
210,142,3
211,258,12
212,534,11
213,459,19
214,62,8
215,284,14
216,224,14
217,317,5
218,197,3
219,216,1
220,199,1
221,362,12
222,285,10
223,416,12
224,419,14
225,190,7
226,192,15
227,320,3
228,538,0
229,85,19
230,23,14
231,444,10
232,290,19
233,211,22
234,253,19
235,103,21
236,515,3
237,550,1
238,71,13
239,523,22
240,422,2
241,495,6
242,229,5
243,322,13
244,114,12
245,359,20
246,59,22
247,282,17
248,81,16
249,29,2
250,164,2
251,122,18
252,95,14
253,261,5
254,167,15
255,67,11
256,315,14
257,28,4
258,160,1
259,2,12
260,176,16
261,526,15
262,482,10
263,471,16
264,45,14
265,490,6
266,70,3
267,333,12
268,443,14
269,35,10
270,345,3
271,104,1
272,259,2
273,502,12
274,380,12
275,352,1
276,374,15
277,426,7
278,463,19
279,106,3
280,272,3
281,172,1
282,397,1
283,225,22
284,485,14
285,411,16
286,369,12
287,187,12
288,13,3
289,40,19
290,233,12
291,535,12
292,239,10
293,182,12
294,26,16
295,105,7
296,335,21
297,77,12
298,493,18
299,431,19
