index,samples,labels
0,537,12
1,402,0
2,498,12
3,165,19
4,534,7
5,517,7
6,405,22
7,424,3
8,583,0
9,540,14
10,462,12
11,191,19
12,107,10
13,244,10
14,161,16
15,565,14
16,274,15
17,609,15
18,299,14
19,362,5
20,181,12
21,557,12
22,158,16
23,337,12
24,569,14
25,466,3
26,170,3
27,178,3
28,211,7
29,65,12
30,276,12
31,410,16
32,566,12
33,568,18
34,442,12
35,432,22
36,363,15
37,489,12
38,477,9
39,384,12
40,35,19
41,302,12
42,267,16
43,163,22
44,473,14
45,156,12
46,468,6
47,53,22
48,176,22
49,253,12
50,530,5
51,388,12
52,287,12
53,398,12
54,590,22
55,235,12
56,256,12
57,229,15
58,18,12
59,10,1
60,196,15
61,343,3
62,396,15
63,230,12
64,513,12
65,106,3
66,606,17
67,553,15
68,438,15
69,203,14
70,485,3
71,100,12
72,91,12
73,461,12
74,282,12
75,90,12
76,516,7
77,301,16
78,355,22
79,426,22
80,248,1
81,168,12
82,152,4
83,281,12
84,160,12
85,564,12
86,596,14
87,554,12
88,310,3
89,173,1
90,97,3
91,391,16
92,381,19
93,604,12
94,420,14
95,393,12
96,204,12
97,580,3
98,552,12
99,408,12
100,215,0
101,114,21
102,350,22
103,406,14
104,286,12
105,507,3
106,611,16
107,209,12
108,98,15
109,134,16
110,157,12
111,258,19
112,506,22
113,25,12
114,13,10
115,373,10
116,138,3
117,73,12
118,234,13
119,75,22
120,219,14
121,425,7
122,365,15
123,382,22
124,88,22
125,77,3
126,446,14
127,121,12
128,237,13
129,243,15
130,352,13
131,330,12
132,413,15
133,588,12
134,315,5
135,192,16
136,300,18
137,475,12
138,603,12
139,123,19
140,60,12
141,541,12
142,143,12
143,492,22
144,332,5
145,549,20
146,314,12
147,54,3
148,117,12
149,95,3
150,329,16
151,563,16
152,458,2
153,116,19
154,453,5
155,452,3
156,295,12
157,390,12
158,459,12
159,296,16
160,439,3
161,291,3
162,600,3
163,236,12
164,110,12
165,504,12
166,39,12
167,177,10
168,249,1
169,545,12
170,242,14
171,94,3
172,128,12
173,185,1
174,224,15
175,366,2
176,323,1
177,573,12
178,218,14
179,270,22
180,155,3
181,607,12
182,26,13
183,231,5
184,210,22
185,591,16
186,318,12
187,280,12
188,359,22
189,550,12
190,389,12
191,92,19
192,428,12
193,240,22
194,479,12
195,320,10
196,62,22
197,260,12
198,254,1
199,154,16
200,42,18
201,294,12
202,79,12
203,126,1
204,47,3
205,431,1
206,298,22
207,561,15
208,297,1
209,78,13
210,324,1
211,311,5
212,279,12
213,131,12
214,179,16
215,58,3
216,283,15
217,571,3
218,48,3
219,63,12
220,19,4
221,411,14
222,379,14
223,577,12
224,262,3
225,212,9
226,520,5
227,463,19
228,349,18
229,125,14
230,12,22
231,375,14
232,228,15
233,167,12
234,574,12
235,358,16
236,536,12
237,340,19
238,50,3
239,269,14
240,529,12
241,289,3
242,327,12
243,105,1
244,528,3
245,385,12
246,259,14
247,415,3
248,354,19
249,331,13
250,85,22
251,496,15
252,345,19
253,59,14
254,429,22
255,494,12
256,115,14
257,472,12
258,0,2
259,245,15
260,217,14
261,69,3
262,127,10
263,206,3
264,335,12
265,378,1
266,136,3
267,555,14
268,21,15
269,597,12
270,255,14
271,124,12
272,368,3
273,221,14
274,119,12
275,180,15
276,49,19
277,336,1
278,223,22
279,312,16
280,414,12
281,202,5
282,32,3
283,567,12
284,469,22
285,102,15
286,444,12
287,598,12
288,148,3
289,214,18
290,20,12
291,476,22
292,394,12
293,372,6
294,562,22
295,103,12
296,41,19
297,194,5
298,40,3
299,55,21
