index,samples,labels
0,492,22
1,362,5
2,497,1
3,175,14
4,438,15
5,510,3
6,314,12
7,202,5
8,326,12
9,496,15
10,16,12
11,529,12
12,128,12
13,263,22
14,107,10
15,306,12
16,499,12
17,257,12
18,437,3
19,494,12
20,181,12
21,479,12
22,156,12
23,79,12
24,380,12
25,237,13
26,106,3
27,110,12
28,498,12
29,167,12
30,193,12
31,282,12
32,103,12
33,472,12
34,91,12
35,235,12
36,330,12
37,456,12
38,197,12
39,535,12
40,319,1
41,20,12
42,577,12
43,25,12
44,591,16
45,268,12
46,594,14
47,605,7
48,589,12
49,279,12
50,514,12
51,401,12
52,168,12
53,293,15
54,539,14
55,205,12
56,246,12
57,137,19
58,389,12
59,115,14
60,464,5
61,455,14
62,179,16
63,296,16
64,120,12
65,439,3
66,360,15
67,285,3
68,358,16
69,430,15
70,487,2
71,332,5
72,209,12
73,101,12
74,89,16
75,153,16
76,568,18
77,149,8
78,294,12
79,485,3
80,289,3
81,477,9
82,509,3
83,11,12
84,384,12
85,480,10
86,221,14
87,515,9
88,511,6
89,410,16
90,393,12
91,251,1
92,302,12
93,160,12
94,474,10
95,222,15
96,5,12
97,348,12
98,310,3
99,596,14
100,100,12
101,512,14
102,525,12
103,567,12
104,219,14
105,516,7
106,145,12
107,18,12
108,392,19
109,286,12
110,489,12
111,39,12
112,400,12
113,60,12
114,385,12
115,313,12
116,388,12
117,72,9
118,116,19
119,536,12
120,495,6
121,598,12
122,95,3
123,281,12
124,3,12
125,429,22
126,230,12
127,242,14
128,254,1
129,206,3
130,327,12
131,406,14
132,491,19
133,365,15
134,315,5
135,604,12
136,37,12
137,139,5
138,447,12
139,571,3
140,471,12
141,369,19
142,276,12
143,418,3
144,339,9
145,29,18
146,481,14
147,333,15
148,566,12
149,587,16
150,428,12
151,423,15
152,188,12
153,309,14
154,214,18
155,225,12
156,124,12
157,154,16
158,194,5
159,405,22
160,80,12
161,597,12
162,556,15
163,537,12
164,526,12
165,355,22
166,484,12
167,65,12
168,334,12
169,177,10
170,262,3
171,352,13
172,366,2
173,267,16
174,454,9
175,271,10
176,109,12
177,367,3
178,159,12
179,325,14
180,75,22
181,422,12
182,121,12
183,390,12
184,397,16
185,444,12
186,478,9
187,261,11
188,122,22
189,417,1
190,345,19
191,592,14
192,151,14
193,420,14
194,23,16
195,52,3
196,269,14
197,483,12
198,546,3
199,344,5
200,490,12
201,234,13
202,212,9
203,588,12
204,90,12
205,280,12
206,359,22
207,266,5
208,354,19
209,545,12
210,450,15
211,123,19
212,603,12
213,424,3
214,126,1
215,55,21
216,226,12
217,513,12
218,501,12
219,338,12
220,191,19
221,83,12
222,71,12
223,541,12
224,78,13
225,375,14
226,74,14
227,28,22
228,524,4
229,398,12
230,548,12
231,387,14
232,551,7
233,258,19
234,415,3
235,586,14
236,6,12
237,162,3
238,425,7
239,14,7
240,67,3
241,50,3
242,317,14
243,96,7
244,307,12
245,442,12
246,399,16
247,445,13
248,569,14
249,476,22
250,130,12
251,475,12
252,554,12
253,9,12
254,73,12
255,143,12
256,68,12
257,543,12
258,364,12
259,301,16
260,557,12
261,184,12
262,108,12
263,453,5
264,158,16
265,502,12
266,24,12
267,265,3
268,255,14
269,402,0
270,482,21
271,500,21
272,1,14
273,98,15
274,196,15
275,570,22
276,135,12
277,530,5
278,38,12
279,88,22
280,449,6
281,208,12
282,253,12
283,303,18
284,316,12
285,15,2
286,134,16
287,165,19
288,370,12
289,46,12
290,308,16
291,187,5
292,404,3
293,227,22
294,47,3
295,57,22
296,248,1
297,527,1
298,157,12
299,186,18
