index,samples,labels
0,492,22
1,175,14
2,257,12
3,314,12
4,497,1
5,362,5
6,435,3
7,510,3
8,429,22
9,251,1
10,438,15
11,73,12
12,193,12
13,111,6
14,84,19
15,494,12
16,128,12
17,142,21
18,260,12
19,241,18
20,578,15
21,2,22
22,20,12
23,70,12
24,97,3
25,54,3
26,69,3
27,201,14
28,36,3
29,349,18
30,176,22
31,224,15
32,107,10
33,276,12
34,611,16
35,321,19
36,0,2
37,544,3
38,259,14
39,207,9
40,323,1
41,185,1
42,210,22
43,354,19
44,549,20
45,416,3
46,145,12
47,237,13
48,496,15
49,505,2
50,346,14
51,437,3
52,369,19
53,18,12
54,66,12
55,312,16
56,33,15
57,575,14
58,488,22
59,606,17
60,133,3
61,203,14
62,593,1
63,56,5
64,605,7
65,152,4
66,486,12
67,15,2
68,122,22
69,46,12
70,375,14
71,44,12
72,180,15
73,42,18
74,341,6
75,419,7
76,61,3
77,536,12
78,448,12
79,202,5
80,538,22
81,188,12
82,220,15
83,297,1
84,58,3
85,16,12
86,29,18
87,292,3
88,146,3
89,343,3
90,105,1
91,433,19
92,39,12
93,563,16
94,407,5
95,118,12
96,338,12
97,174,12
98,264,5
99,356,18
100,353,5
101,344,5
102,31,12
103,443,16
104,386,15
105,380,12
106,320,10
107,48,3
108,340,19
109,274,15
110,585,16
111,7,1
112,72,9
113,560,6
114,303,18
115,469,22
116,239,3
117,10,1
118,318,12
119,368,3
120,466,3
121,108,12
122,298,22
123,322,14
124,570,22
125,600,3
126,277,22
127,13,10
128,192,16
129,410,16
130,556,15
131,436,18
132,460,7
133,357,11
134,458,2
135,125,14
136,17,15
137,245,15
138,337,12
139,244,10
140,30,15
141,19,4
142,163,22
143,394,12
144,182,14
145,150,12
146,94,3
147,610,15
148,339,9
149,378,1
150,551,7
151,110,12
152,273,12
153,452,3
154,319,1
155,200,16
156,40,3
157,284,22
158,213,15
159,34,19
160,98,15
161,391,16
162,584,14
163,77,3
164,379,14
165,106,3
166,27,21
167,522,3
168,591,16
169,301,16
170,86,14
171,317,14
172,309,14
173,329,16
174,216,22
175,67,3
176,272,16
177,290,8
178,229,15
179,472,12
180,164,2
181,381,19
182,586,14
183,403,10
184,308,16
185,602,16
186,12,22
187,278,21
188,446,14
189,148,3
190,395,15
191,183,19
192,461,12
193,451,10
194,555,14
195,331,13
196,169,11
197,527,1
198,211,7
199,431,1
200,445,13
201,41,19
202,218,14
203,161,16
204,305,16
205,171,14
206,299,14
207,376,16
208,565,14
209,92,19
210,327,12
211,478,9
212,109,12
213,256,12
214,502,12
215,157,12
216,62,22
217,112,14
218,371,12
219,372,6
220,580,3
221,113,15
222,199,18
223,503,22
224,288,15
225,414,12
226,562,22
227,217,14
228,442,12
229,449,6
230,78,13
231,21,15
232,26,13
233,581,22
234,75,22
235,519,9
236,291,3
237,186,18
238,582,21
239,521,14
240,35,19
241,541,12
242,495,6
243,123,19
244,572,9
245,547,14
246,172,3
247,129,21
248,275,12
249,373,10
250,252,14
251,135,12
252,64,12
253,532,22
254,383,1
255,517,7
256,583,0
257,85,22
258,558,3
259,374,6
260,336,1
261,87,10
262,141,3
263,37,12
264,261,11
265,409,10
266,204,12
267,392,19
268,425,7
269,507,3
270,104,12
271,227,22
272,473,14
273,1,14
274,96,7
275,49,19
276,595,1
277,119,12
278,441,18
279,534,7
280,335,12
281,508,5
282,476,22
283,328,12
284,215,0
285,81,15
286,219,14
287,151,14
288,266,5
289,223,22
290,542,21
291,550,12
292,520,5
293,138,3
294,396,15
295,347,5
296,574,12
297,231,5
298,114,21
299,166,15
