index,samples,labels
0,537,12
1,402,0
2,432,22
3,87,10
4,23,16
5,351,12
6,293,15
7,190,12
8,37,12
9,108,12
10,491,19
11,547,14
12,399,16
13,566,12
14,534,7
15,518,12
16,21,15
17,34,19
18,546,3
19,553,15
20,268,12
21,363,15
22,412,3
23,112,14
24,528,3
25,371,12
26,564,12
27,151,14
28,478,9
29,524,4
30,219,14
31,542,21
32,261,11
33,129,21
34,434,10
35,247,22
36,445,13
37,520,5
38,204,12
39,3,12
40,26,13
41,336,1
42,169,11
43,367,3
44,508,5
45,423,15
46,127,10
47,426,22
48,266,5
49,328,12
50,517,7
51,106,3
52,75,22
53,137,19
54,348,12
55,99,5
56,173,1
57,582,21
58,467,12
59,234,13
60,525,12
61,14,7
62,117,12
63,449,6
64,552,12
65,468,6
66,576,3
67,217,14
68,309,14
69,135,12
70,254,1
71,539,14
72,177,10
73,98,15
74,558,3
75,396,15
76,347,5
77,116,19
78,571,3
79,95,3
80,302,12
81,74,14
82,136,3
83,162,3
84,4,12
85,526,12
86,441,18
87,601,21
88,398,12
89,222,15
90,78,13
91,580,3
92,85,22
93,569,14
94,262,3
95,443,16
96,470,16
97,300,18
98,404,3
99,290,8
100,333,15
101,59,14
102,48,3
103,410,16
104,462,12
105,608,19
106,592,14
107,457,15
108,47,3
109,334,12
110,258,19
111,583,0
112,139,5
113,284,22
114,403,10
115,126,1
116,301,16
117,311,5
118,10,1
119,132,3
120,194,5
121,159,12
122,202,5
123,417,1
124,45,3
125,339,9
126,248,1
127,269,14
128,287,12
129,607,12
130,502,12
131,119,12
132,196,15
133,182,14
134,541,12
135,307,12
136,275,12
137,229,15
138,28,22
139,49,19
140,218,14
141,22,15
142,397,16
143,1,14
144,482,21
145,484,12
146,506,22
147,610,15
148,420,14
149,382,22
150,211,7
151,516,7
152,88,22
153,109,12
154,191,19
155,425,7
156,96,7
157,587,16
158,377,21
159,291,3
160,228,15
161,474,10
162,345,19
163,325,14
164,55,21
165,50,3
166,189,9
167,594,14
168,134,16
169,226,12
170,453,5
171,6,12
172,424,3
173,400,12
174,418,3
175,199,18
176,556,15
177,281,12
178,530,5
179,165,19
180,415,3
181,158,16
182,603,12
183,178,3
184,322,14
185,378,1
186,471,12
187,267,16
188,174,12
189,148,3
190,212,9
191,303,18
192,504,12
193,271,10
194,57,22
195,206,3
196,454,9
197,104,12
198,324,1
199,255,14
200,595,1
201,437,3
202,340,19
203,532,22
204,130,12
205,352,13
206,195,14
207,249,1
208,29,18
209,548,12
210,550,12
211,308,16
212,459,12
213,154,16
214,68,12
215,562,22
216,12,22
217,579,12
218,140,12
219,243,15
220,67,3
221,394,12
222,81,15
223,215,0
224,52,3
225,495,6
226,522,3
227,265,3
228,498,12
229,256,12
230,150,12
231,24,12
232,473,14
233,521,14
234,310,3
235,452,3
236,200,16
237,170,3
238,523,12
239,166,15
240,288,15
241,364,12
242,163,22
243,221,14
244,272,16
245,408,12
246,123,19
247,493,14
248,596,14
249,581,22
250,327,12
251,535,12
252,214,18
253,513,12
254,335,12
255,160,12
256,223,22
257,540,14
258,280,12
259,30,15
260,338,12
261,422,12
262,213,15
263,357,11
264,555,14
265,460,7
266,461,12
267,466,3
268,407,5
269,545,12
270,236,12
271,16,12
272,366,2
273,611,16
274,18,12
275,527,1
276,227,22
277,35,19
278,476,22
279,65,12
280,70,12
281,105,1
282,305,16
283,250,12
284,186,18
285,72,9
286,381,19
287,216,22
288,536,12
289,319,1
290,496,15
291,264,5
292,440,22
293,180,15
294,316,12
295,442,12
296,379,14
297,486,12
298,58,3
299,146,3
