index,samples,labels
0,492,22
1,73,12
2,16,12
3,175,14
4,283,15
5,367,3
6,577,12
7,202,5
8,257,12
9,496,15
10,260,12
11,599,3
12,263,22
13,127,10
14,320,10
15,160,12
16,309,14
17,457,15
18,18,12
19,603,12
20,136,3
21,443,16
22,347,5
23,407,5
24,523,12
25,553,15
26,297,1
27,525,12
28,609,15
29,170,3
30,305,16
31,195,14
32,48,3
33,388,12
34,410,16
35,516,7
36,528,3
37,219,14
38,336,1
39,505,2
40,196,15
41,514,12
42,210,22
43,411,14
44,182,14
45,118,12
46,137,19
47,287,12
48,141,3
49,400,12
50,207,9
51,445,13
52,267,16
53,381,19
54,595,1
55,277,22
56,560,6
57,353,5
58,123,19
59,324,1
60,573,12
61,110,12
62,222,15
63,254,1
64,221,14
65,384,12
66,439,3
67,430,15
68,360,15
69,149,8
70,285,3
71,487,2
72,101,12
73,568,18
74,358,16
75,179,16
76,332,5
77,120,12
78,480,10
79,477,9
80,89,16
81,55,21
82,455,14
83,153,16
84,115,14
85,464,5
86,294,12
87,289,3
88,485,3
89,212,9
90,296,16
91,209,12
92,509,3
93,329,16
94,437,3
95,169,11
96,402,0
97,596,14
98,419,7
99,116,19
100,486,12
101,530,5
102,339,9
103,266,5
104,214,18
105,454,9
106,569,14
107,262,3
108,258,19
109,96,7
110,355,22
111,365,15
112,159,12
113,534,7
114,74,14
115,345,19
116,397,16
117,334,12
118,547,14
119,49,19
120,135,12
121,187,5
122,425,7
123,191,19
124,473,14
125,119,12
126,165,19
127,431,1
128,192,16
129,88,22
130,405,22
131,352,13
132,537,12
133,269,14
134,436,18
135,217,14
136,186,18
137,335,12
138,40,3
139,81,15
140,582,21
141,85,22
142,517,7
143,227,22
144,65,12
145,138,3
146,14,7
147,140,12
148,610,15
149,545,12
150,587,16
151,414,12
152,519,9
153,502,12
154,392,19
155,418,3
156,35,19
157,449,6
158,177,10
159,562,22
160,495,6
161,462,12
162,134,16
163,607,12
164,586,14
165,213,15
166,234,13
167,315,5
168,4,12
169,87,10
170,129,21
171,317,14
172,64,12
173,10,1
174,113,15
175,542,21
176,372,6
177,252,14
178,162,3
179,239,3
180,515,9
181,548,12
182,67,3
183,204,12
184,403,10
185,371,12
186,271,10
187,226,12
188,583,0
189,396,15
190,27,21
191,99,5
192,26,13
193,318,12
194,588,12
195,467,12
196,366,2
197,511,6
198,424,3
199,7,1
200,189,9
201,47,3
202,503,22
203,441,18
204,576,3
205,275,12
206,468,6
207,550,12
208,331,13
209,460,7
210,112,14
211,420,14
212,34,19
213,302,12
214,1,14
215,229,15
216,19,4
217,377,21
218,13,10
219,248,1
220,163,22
221,301,16
222,423,15
223,327,12
224,125,14
225,6,12
226,584,14
227,183,19
228,524,4
229,290,8
230,608,19
231,328,12
232,391,16
233,532,22
234,104,12
235,108,12
236,394,12
237,399,16
238,476,22
239,216,22
240,171,14
241,376,16
242,363,15
243,594,14
244,139,5
245,220,15
246,272,16
247,164,2
248,451,10
249,278,21
250,383,1
251,12,22
252,265,3
253,52,3
254,249,1
255,563,16
256,433,19
257,194,5
258,62,22
259,154,16
260,478,9
261,343,3
262,150,12
263,580,3
264,521,14
265,395,15
266,151,14
267,378,1
268,215,0
269,41,19
270,59,14
271,261,11
272,417,1
273,474,10
274,458,2
275,606,17
276,459,12
277,157,12
278,105,1
279,30,15
280,592,14
281,442,12
282,57,22
283,133,3
284,126,1
285,572,9
286,245,15
287,342,12
288,63,12
289,581,22
290,312,16
291,453,5
292,77,3
293,466,3
294,98,15
295,446,14
296,452,3
297,200,16
298,256,12
299,198,16
