index,samples,labels
0,124,3
1,426,3
2,363,16
3,289,22
4,290,5
5,117,12
6,171,3
7,464,12
8,480,16
9,275,12
10,230,12
11,245,6
12,250,12
13,8,15
14,224,12
15,442,5
16,292,10
17,151,10
18,210,3
19,161,5
20,271,12
21,89,1
22,3,14
23,199,12
24,111,12
25,216,21
26,37,18
27,458,18
28,277,16
29,252,16
30,429,12
31,298,12
32,478,15
33,384,12
34,101,19
35,66,22
36,82,22
37,367,16
38,410,15
39,85,12
40,234,14
41,450,16
42,163,3
43,25,12
44,113,15
45,28,19
46,461,12
47,288,12
48,443,10
49,481,12
50,94,12
51,51,1
52,121,3
53,127,22
54,201,1
55,365,3
56,325,19
57,98,12
58,397,1
59,368,12
60,359,7
61,348,12
62,475,13
63,466,15
64,179,3
65,279,15
66,57,12
67,69,7
68,233,22
69,472,16
70,315,12
71,476,12
72,342,19
73,321,12
74,103,15
75,402,14
76,256,16
77,319,11
78,439,3
79,29,3
80,391,1
81,374,3
82,110,15
83,455,14
84,217,18
85,120,15
86,378,12
87,122,8
88,428,12
89,17,12
90,95,3
91,382,12
92,314,3
93,337,18
94,15,5
95,445,12
96,293,12
97,396,12
98,284,22
99,27,16
100,263,4
101,446,12
102,278,12
103,68,22
104,343,14
105,432,16
106,195,15
107,453,12
108,197,12
109,427,12
110,473,16
111,191,12
112,351,12
113,58,19
114,444,15
115,173,16
116,474,12
117,107,0
118,114,15
119,13,10
120,465,12
121,206,12
122,394,7
123,416,14
124,452,3
125,18,22
126,246,16
127,130,12
128,438,22
129,86,12
130,77,21
131,376,22
132,243,12
133,273,12
134,310,17
135,283,22
136,360,2
137,149,3
138,323,14
139,128,2
140,412,3
141,414,22
142,184,3
143,223,12
144,176,12
145,316,7
146,104,14
147,70,21
148,462,12
149,255,1
150,383,12
151,417,12
152,228,9
153,449,21
154,297,10
155,372,12
156,335,12
157,251,12
158,1,10
159,318,16
160,0,12
161,270,12
162,175,5
163,469,14
164,346,3
165,26,22
166,31,14
167,381,6
168,305,12
169,302,14
170,53,19
171,61,22
172,425,6
173,194,15
174,52,12
175,138,19
176,268,18
177,108,19
178,21,18
179,144,12
180,30,19
181,244,15
182,187,12
183,78,3
184,300,5
185,447,19
186,313,3
187,32,9
188,39,22
189,291,22
190,326,22
191,7,10
192,71,20
193,227,3
194,67,15
195,249,2
196,260,10
197,137,22
198,92,15
199,129,15
200,345,12
201,285,12
202,20,1
203,415,1
204,424,14
205,218,15
206,373,19
207,392,3
208,205,3
209,99,3
210,178,16
211,282,3
212,135,3
213,165,3
214,43,1
215,353,16
216,423,6
217,222,3
218,338,15
219,419,15
220,403,18
221,60,1
222,304,3
223,182,16
224,324,22
225,42,3
226,118,5
227,479,14
228,448,22
229,295,15
230,317,11
231,336,3
232,141,3
233,356,1
234,87,3
235,169,14
236,6,3
237,240,9
238,242,22
239,143,14
240,208,15
241,265,22
242,62,12
243,136,3
244,386,15
245,123,14
246,266,5
247,40,15
248,467,3
249,73,16
250,167,3
251,183,3
252,422,9
253,221,19
254,395,7
255,434,15
256,352,10
257,55,3
258,460,10
259,404,12
260,349,3
261,72,14
262,47,14
263,45,3
264,299,13
265,105,3
266,48,22
267,463,10
268,46,6
269,430,22
270,116,19
271,408,3
272,154,7
273,202,19
274,272,5
275,188,3
276,457,14
277,5,7
278,259,15
279,398,19
280,436,13
281,331,14
282,347,12
283,109,13
284,19,3
285,459,12
286,64,1
287,180,7
288,330,22
289,267,14
290,238,15
291,164,10
292,388,4
293,471,1
294,10,7
295,309,19
296,34,22
297,261,14
298,420,12
299,9,5
