index,samples,labels
0,124,3
1,346,3
2,232,16
3,176,12
4,181,12
5,226,12
6,69,7
7,355,16
8,256,16
9,27,16
10,352,10
11,398,19
12,98,12
13,379,19
14,469,14
15,401,3
16,222,3
17,281,12
18,11,15
19,383,12
20,436,13
21,189,14
22,353,16
23,96,12
24,434,15
25,119,10
26,395,7
27,459,12
28,430,22
29,343,14
30,367,16
31,233,22
32,210,3
33,71,20
34,143,14
35,426,3
36,192,2
37,78,3
38,150,21
39,422,9
40,202,19
41,198,5
42,207,7
43,363,16
44,106,12
45,164,10
46,347,12
47,190,21
48,323,14
49,138,19
50,471,1
51,382,12
52,48,22
53,5,7
54,406,12
55,93,19
56,418,15
57,227,3
58,277,16
59,388,4
60,9,5
61,22,1
62,90,10
63,76,3
64,263,4
65,42,3
66,481,12
67,218,15
68,182,16
69,44,12
70,55,3
71,43,1
72,279,15
73,289,22
74,13,10
75,240,9
76,318,16
77,188,3
78,234,14
79,421,12
80,473,16
81,297,10
82,386,15
83,123,14
84,390,7
85,159,1
86,97,5
87,275,12
88,377,2
89,381,6
90,178,16
91,51,1
92,433,22
93,220,12
94,46,6
95,166,12
96,450,16
97,23,19
98,480,16
99,215,12
100,425,6
101,392,3
102,404,12
103,221,19
104,80,12
105,442,5
106,1,10
107,53,19
108,208,15
109,102,12
110,6,3
111,284,22
112,248,3
113,470,16
114,320,21
115,460,10
116,128,2
117,70,21
118,21,18
119,219,14
120,304,3
121,246,16
122,349,3
123,331,14
124,328,12
125,63,14
126,49,15
127,286,12
128,244,15
129,322,3
130,358,19
131,475,13
132,72,14
133,212,15
134,463,10
135,175,5
136,446,12
137,88,13
138,435,15
139,397,1
140,437,21
141,447,19
142,201,1
143,371,14
144,444,15
145,216,21
146,300,5
147,368,12
148,2,22
149,280,18
150,432,16
151,428,12
152,168,3
153,394,7
154,111,12
155,30,19
156,472,16
157,32,9
158,139,14
159,109,13
160,337,18
161,335,12
162,285,12
163,332,12
164,384,12
165,295,15
166,108,19
167,301,12
168,265,22
169,173,16
170,282,3
171,276,15
172,373,19
173,344,9
174,145,1
175,359,7
176,7,10
177,37,18
178,28,19
179,412,3
180,105,3
181,372,12
182,424,14
183,448,22
184,288,12
185,455,14
186,411,3
187,237,1
188,242,22
189,458,18
190,64,1
191,249,2
192,357,19
193,85,12
194,324,22
195,429,12
196,410,15
197,251,12
198,214,12
199,479,14
200,127,22
201,20,1
202,118,5
203,194,15
204,3,14
205,403,18
206,58,19
207,47,14
208,135,3
209,8,15
210,94,12
211,161,5
212,54,12
213,356,1
214,62,12
215,120,15
216,319,11
217,29,3
218,427,12
219,225,9
220,467,3
221,255,1
222,375,12
223,82,22
224,423,6
225,245,6
226,155,12
227,10,7
228,38,12
229,205,3
230,91,12
231,174,12
232,112,14
233,317,11
234,165,3
235,211,12
236,148,1
237,316,7
238,169,14
239,478,15
240,180,7
241,330,22
242,339,12
243,142,1
244,307,22
245,253,10
246,336,3
247,360,2
248,345,12
249,362,18
250,134,12
251,449,21
252,31,14
253,183,3
254,408,3
255,60,1
256,39,22
257,350,19
258,110,15
259,217,18
260,270,12
261,341,19
262,158,10
263,238,15
264,187,12
265,66,22
266,95,3
267,107,0
268,73,16
269,402,14
270,200,12
271,290,5
272,293,12
273,229,22
274,170,12
275,338,15
276,342,19
277,133,12
278,122,8
279,228,9
280,126,12
281,132,12
282,40,15
283,186,12
284,33,15
285,59,6
286,438,22
287,115,13
288,266,5
289,302,14
290,239,12
291,452,3
292,101,19
293,299,13
294,87,3
295,89,1
296,261,14
297,199,12
298,26,22
299,294,15
