index,samples,labels
0,462,12
1,118,5
2,209,22
3,294,15
4,382,12
5,254,12
6,287,12
7,263,4
8,51,1
9,416,14
10,334,12
11,461,12
12,184,3
13,445,12
14,79,3
15,417,12
16,274,12
17,1,10
18,138,19
19,203,12
20,109,13
21,312,22
22,407,12
23,224,12
24,298,12
25,249,2
26,315,12
27,399,12
28,219,14
29,100,12
30,400,12
31,348,12
32,84,12
33,196,12
34,81,12
35,174,12
36,158,10
37,396,12
38,155,12
39,340,12
40,428,12
41,305,12
42,230,12
43,306,12
44,327,14
45,159,1
46,214,12
47,191,12
48,199,12
49,437,21
50,465,12
51,122,8
52,451,12
53,41,12
54,335,12
55,296,12
56,213,12
57,111,12
58,243,12
59,421,12
60,308,12
61,403,18
62,102,12
63,85,12
64,63,14
65,477,12
66,262,12
67,200,12
68,384,12
69,217,18
70,54,12
71,113,15
72,273,12
73,16,3
74,239,12
75,464,12
76,204,15
77,458,18
78,32,9
79,126,12
80,179,3
81,157,12
82,215,12
83,154,7
84,140,12
85,415,1
86,241,12
87,23,19
88,132,12
89,166,12
90,405,12
91,479,14
92,11,15
93,116,19
94,189,14
95,351,12
96,456,14
97,197,12
98,168,3
99,147,3
100,4,15
101,325,19
102,177,12
103,269,12
104,251,12
105,115,13
106,44,12
107,257,12
108,264,12
109,379,19
110,339,12
111,144,12
112,211,12
113,0,12
114,27,16
115,89,1
116,474,12
117,141,3
118,454,12
119,368,12
120,252,16
121,434,15
122,53,19
123,318,16
124,258,12
125,232,16
126,56,14
127,346,3
128,390,7
129,172,12
130,186,12
131,369,14
132,52,12
133,321,12
134,387,22
135,402,14
136,385,3
137,278,12
138,383,12
139,236,22
140,436,13
141,375,12
142,455,14
143,256,16
144,476,12
145,112,14
146,86,12
147,96,12
148,98,12
149,301,12
150,355,16
151,117,12
152,328,12
153,134,12
154,229,22
155,24,12
156,161,5
157,136,3
158,470,16
159,49,15
160,77,21
161,59,6
162,271,12
163,69,7
164,343,14
165,104,14
166,220,12
167,45,3
168,25,12
169,439,3
170,441,12
171,225,9
172,284,22
173,259,15
174,167,3
175,297,10
176,272,5
177,151,10
178,235,12
179,223,12
180,361,12
181,307,22
182,195,15
183,38,12
184,481,12
185,75,14
186,457,14
187,310,17
188,293,12
189,378,12
190,94,12
191,449,21
192,350,19
193,326,22
194,73,16
195,238,15
196,353,16
197,322,3
198,372,12
199,175,5
200,311,3
201,480,16
202,303,12
203,292,10
204,31,14
205,70,21
206,65,12
207,148,1
208,337,18
209,323,14
210,469,14
211,26,22
212,245,6
213,74,12
214,114,15
215,145,1
216,246,16
217,333,14
218,19,3
219,430,22
220,234,14
221,413,6
222,267,14
223,401,3
224,364,12
225,83,12
226,425,6
227,366,14
228,198,5
229,95,3
230,317,11
231,408,3
232,36,12
233,420,12
234,139,14
235,342,19
236,427,12
237,388,4
238,447,19
239,180,7
240,47,14
241,149,3
242,288,12
243,107,0
244,362,18
245,212,15
246,331,14
247,185,12
248,10,7
249,431,12
250,91,12
251,153,12
252,202,19
253,206,12
254,300,5
255,466,15
256,87,3
257,72,14
258,146,7
259,423,6
260,270,12
261,286,12
262,61,22
263,291,22
264,14,12
265,354,12
266,440,12
267,247,22
268,192,2
269,90,10
270,345,12
271,15,5
272,207,7
273,40,15
274,169,14
275,352,10
276,237,1
277,57,12
278,68,22
279,304,3
280,103,15
281,170,12
282,344,9
283,193,22
284,330,22
285,156,15
286,181,12
287,419,15
288,152,3
289,446,12
290,468,12
291,377,2
292,3,14
293,222,3
294,163,3
295,171,3
296,58,19
297,453,12
298,261,14
299,414,22
