index,samples,labels
0,462,12
1,209,22
2,417,12
3,118,5
4,380,15
5,174,12
6,392,3
7,387,22
8,362,18
9,51,1
10,78,3
11,416,14
12,30,19
13,29,3
14,396,12
15,263,4
16,214,12
17,42,3
18,89,1
19,102,12
20,119,10
21,444,15
22,461,12
23,481,12
24,249,2
25,76,3
26,60,1
27,448,22
28,139,14
29,371,14
30,471,1
31,138,19
32,459,12
33,373,19
34,105,3
35,294,15
36,71,20
37,55,3
38,295,15
39,359,7
40,88,13
41,275,12
42,97,5
43,47,14
44,147,3
45,80,12
46,240,9
47,33,15
48,34,22
49,219,14
50,128,2
51,381,6
52,106,12
53,298,12
54,411,3
55,199,12
56,9,5
57,20,1
58,250,12
59,218,15
60,327,14
61,478,15
62,108,19
63,182,16
64,404,12
65,316,7
66,282,3
67,66,22
68,403,18
69,125,14
70,49,15
71,394,7
72,161,5
73,412,3
74,398,19
75,424,14
76,324,22
77,143,14
78,220,12
79,302,14
80,277,16
81,1,10
82,280,18
83,53,19
84,308,12
85,178,16
86,44,12
87,450,16
88,188,3
89,227,3
90,265,22
91,299,13
92,406,12
93,268,18
94,463,10
95,205,3
96,437,21
97,455,14
98,320,21
99,32,9
100,460,10
101,344,9
102,458,18
103,93,19
104,210,3
105,253,10
106,46,6
107,221,19
108,421,12
109,386,15
110,397,1
111,62,12
112,429,12
113,367,16
114,171,3
115,8,15
116,187,12
117,127,22
118,479,14
119,225,9
120,175,5
121,473,16
122,251,12
123,376,22
124,82,22
125,201,1
126,442,5
127,168,3
128,446,12
129,193,22
130,402,14
131,194,15
132,435,15
133,165,3
134,216,21
135,472,16
136,208,15
137,289,22
138,377,2
139,363,16
140,239,12
141,166,12
142,426,3
143,22,1
144,395,7
145,68,22
146,226,12
147,286,12
148,322,3
149,347,12
150,375,12
151,2,22
152,13,10
153,101,19
154,336,3
155,190,21
156,276,15
157,338,15
158,319,11
159,242,22
160,6,3
161,261,14
162,349,3
163,121,3
164,212,15
165,301,12
166,290,5
167,94,12
168,110,15
169,142,1
170,331,14
171,17,12
172,48,22
173,309,19
174,284,22
175,422,9
176,345,12
177,447,19
178,156,15
179,356,1
180,164,10
181,72,14
182,21,18
183,57,12
184,304,3
185,237,1
186,432,16
187,300,5
188,360,2
189,466,15
190,189,14
191,246,16
192,342,19
193,169,14
194,180,7
195,369,14
196,238,15
197,423,6
198,232,16
199,475,13
200,207,7
201,64,1
202,5,7
203,330,22
204,183,3
205,133,12
206,271,12
207,206,12
208,467,3
209,0,12
210,134,12
211,270,12
212,337,18
213,204,15
214,90,10
215,323,14
216,150,21
217,202,19
218,3,14
219,255,1
220,19,3
221,109,13
222,131,3
223,233,22
224,74,12
225,317,11
226,266,5
227,425,6
228,217,18
229,470,16
230,430,22
231,10,7
232,69,7
233,228,9
234,407,12
235,341,19
236,408,3
237,297,10
238,37,18
239,158,10
240,357,19
241,350,19
242,441,12
243,23,19
244,26,22
245,310,17
246,449,21
247,343,14
248,388,4
249,427,12
250,95,3
251,73,16
252,307,22
253,198,5
254,454,12
255,439,3
256,31,14
257,28,19
258,146,7
259,335,12
260,438,22
261,440,12
262,390,7
263,59,6
264,285,12
265,70,21
266,245,6
267,122,8
268,107,0
269,326,22
270,145,1
271,252,16
272,173,16
273,87,3
274,153,12
275,7,10
276,91,12
277,476,12
278,39,22
279,77,21
280,179,3
281,355,16
282,58,19
283,65,12
284,469,14
285,229,22
286,52,12
287,115,13
288,361,12
289,267,14
290,332,12
291,40,15
292,366,14
293,303,12
294,148,1
295,281,12
296,181,12
297,434,15
298,259,15
299,457,14
