index,samples,labels
0,124,3
1,426,3
2,363,16
3,435,15
4,431,12
5,195,15
6,93,19
7,116,19
8,259,15
9,334,12
10,155,12
11,3,14
12,212,15
13,401,3
14,70,21
15,412,3
16,420,12
17,255,1
18,415,1
19,355,16
20,225,9
21,96,12
22,137,22
23,61,22
24,26,22
25,304,3
26,229,22
27,300,5
28,331,14
29,77,21
30,383,12
31,464,12
32,129,15
33,67,15
34,228,9
35,153,12
36,434,15
37,407,12
38,389,12
39,115,13
40,68,22
41,423,6
42,251,12
43,27,16
44,15,5
45,290,5
46,413,6
47,149,3
48,141,3
49,117,12
50,69,7
51,122,8
52,107,0
53,379,19
54,469,14
55,463,10
56,457,14
57,45,3
58,262,12
59,37,18
60,346,3
61,280,18
62,479,14
63,443,10
64,130,12
65,181,12
66,352,10
67,112,14
68,281,12
69,65,12
70,35,12
71,475,13
72,252,16
73,146,7
74,351,12
75,154,7
76,109,13
77,270,12
78,244,15
79,332,12
80,375,12
81,204,15
82,440,12
83,110,15
84,151,10
85,325,19
86,353,16
87,222,3
88,91,12
89,256,16
90,442,5
91,98,12
92,342,19
93,95,3
94,293,12
95,180,7
96,369,14
97,291,22
98,260,10
99,366,14
100,232,16
101,391,1
102,10,7
103,217,18
104,179,3
105,271,12
106,136,3
107,441,12
108,438,22
109,237,1
110,480,16
111,206,12
112,148,1
113,341,19
114,390,7
115,176,12
116,235,12
117,226,12
118,191,12
119,319,11
120,39,22
121,349,3
122,162,12
123,345,12
124,330,22
125,21,18
126,386,15
127,131,3
128,272,5
129,449,21
130,385,3
131,233,22
132,145,1
133,439,3
134,321,12
135,247,22
136,292,10
137,81,12
138,236,22
139,207,7
140,267,14
141,31,14
142,25,12
143,121,3
144,144,12
145,58,19
146,167,3
147,62,12
148,364,12
149,398,19
150,239,12
151,360,2
152,478,15
153,126,12
154,7,10
155,75,14
156,278,12
157,266,5
158,19,3
159,285,12
160,338,15
161,418,15
162,104,14
163,43,1
164,436,13
165,72,14
166,328,12
167,370,1
168,73,16
169,246,16
170,189,14
171,393,12
172,350,19
173,175,5
174,326,22
175,425,6
176,336,3
177,245,6
178,16,3
179,160,12
180,323,14
181,286,12
182,168,3
183,90,10
184,198,5
185,183,3
186,322,3
187,454,12
188,36,12
189,231,12
190,53,19
191,4,15
192,134,12
193,381,6
194,344,9
195,178,16
196,411,3
197,421,12
198,164,10
199,297,10
200,127,22
201,317,11
202,0,12
203,238,15
204,424,14
205,169,14
206,227,3
207,103,15
208,414,22
209,451,12
210,6,3
211,205,3
212,397,1
213,395,7
214,357,19
215,284,22
216,447,19
217,97,5
218,202,19
219,337,18
220,356,1
221,170,12
222,92,15
223,340,12
224,182,16
225,157,12
226,409,12
227,32,9
228,277,16
229,216,21
230,114,15
231,313,3
232,49,15
233,388,4
234,23,19
235,265,22
236,140,12
237,310,17
238,404,12
239,458,18
240,94,12
241,312,22
242,11,15
243,253,10
244,64,1
245,333,14
246,56,14
247,466,15
248,158,10
249,165,3
250,48,22
251,208,15
252,432,16
253,185,12
254,408,3
255,273,12
256,28,19
257,354,12
258,365,3
259,113,15
260,378,12
261,467,3
262,374,3
263,258,12
264,156,15
265,52,12
266,221,19
267,476,12
268,419,15
269,299,13
270,14,12
271,274,12
272,288,12
273,40,15
274,377,2
275,460,10
276,120,15
277,359,7
278,446,12
279,152,3
280,163,3
281,429,12
282,102,12
283,132,12
284,172,12
285,450,16
286,142,1
287,416,14
288,5,7
289,392,3
290,20,1
291,101,19
292,87,3
293,324,22
294,275,12
295,455,14
296,453,12
297,33,15
298,276,15
299,314,3
