index,samples,labels
0,124,3
1,426,3
2,363,16
3,289,22
4,290,5
5,117,12
6,171,3
7,464,12
8,480,16
9,275,12
10,230,12
11,245,6
12,250,12
13,8,15
14,224,12
15,442,5
16,292,10
17,151,10
18,210,3
19,161,5
20,271,12
21,89,1
22,3,14
23,199,12
24,111,12
25,216,21
26,37,18
27,458,18
28,277,16
29,252,16
30,429,12
31,298,12
32,478,15
33,384,12
34,101,19
35,66,22
36,82,22
37,367,16
38,410,15
39,85,12
40,234,14
41,450,16
42,163,3
43,25,12
44,113,15
45,28,19
46,461,12
47,288,12
48,443,10
49,481,12
50,94,12
51,51,1
52,121,3
53,127,22
54,201,1
55,365,3
56,325,19
57,98,12
58,397,1
59,368,12
60,359,7
61,348,12
62,475,13
63,466,15
64,179,3
65,279,15
66,57,12
67,69,7
68,233,22
69,472,16
70,315,12
71,476,12
72,342,19
73,321,12
74,103,15
75,402,14
76,256,16
77,319,11
78,439,3
79,29,3
80,391,1
81,374,3
82,110,15
83,455,14
84,217,18
85,120,15
86,378,12
87,122,8
88,428,12
89,17,12
90,95,3
91,382,12
92,314,3
93,337,18
94,15,5
95,445,12
96,293,12
97,396,12
98,284,22
99,27,16
100,263,4
101,446,12
102,278,12
103,68,22
104,343,14
105,432,16
106,195,15
107,453,12
108,197,12
109,427,12
110,473,16
111,191,12
112,351,12
113,58,19
114,444,15
115,173,16
116,474,12
117,107,0
118,114,15
119,13,10
120,465,12
121,206,12
122,394,7
123,416,14
124,452,3
125,18,22
126,246,16
127,130,12
128,438,22
129,86,12
130,77,21
131,376,22
132,243,12
133,273,12
134,310,17
135,283,22
136,360,2
137,149,3
138,323,14
139,128,2
140,412,3
141,414,22
142,184,3
143,223,12
144,176,12
145,316,7
146,104,14
147,70,21
148,462,12
149,255,1
150,383,12
151,417,12
152,228,9
153,449,21
154,297,10
155,372,12
156,335,12
157,251,12
158,1,10
159,318,16
160,0,12
161,270,12
162,175,5
163,469,14
164,346,3
165,26,22
166,31,14
167,381,6
168,305,12
169,302,14
170,53,19
171,61,22
172,425,6
173,194,15
174,52,12
175,138,19
176,268,18
177,108,19
178,21,18
179,144,12
180,30,19
181,244,15
182,187,12
183,78,3
184,300,5
185,447,19
186,313,3
187,32,9
188,39,22
189,291,22
190,326,22
191,7,10
192,71,20
193,282,3
194,386,15
195,285,12
196,214,12
197,307,22
198,133,12
199,23,19
200,269,12
201,154,7
202,341,19
203,311,3
204,116,19
205,333,14
206,422,9
207,221,19
208,366,14
209,413,6
210,189,14
211,248,3
212,400,12
213,81,12
214,207,7
215,295,15
216,317,11
217,192,2
218,73,16
219,162,12
220,356,1
221,272,5
222,126,12
223,96,12
224,392,3
225,143,14
226,401,3
227,431,12
228,477,12
229,329,3
230,146,7
231,393,12
232,159,1
233,186,12
234,155,12
235,160,12
236,294,15
237,468,12
238,253,10
239,355,16
240,11,15
241,350,19
242,87,3
243,19,3
244,20,1
245,45,3
246,157,12
247,115,13
248,349,3
249,43,1
250,280,18
251,259,15
252,328,12
253,152,3
254,125,14
255,306,12
256,170,12
257,62,12
258,202,19
259,135,3
260,215,12
261,430,22
262,232,16
263,236,22
264,166,12
265,50,3
266,131,3
267,375,12
268,362,18
269,167,3
270,471,1
271,141,3
272,467,3
273,239,12
274,75,14
275,139,14
276,2,22
277,106,12
278,304,3
279,164,10
280,42,3
281,119,10
282,440,12
283,65,12
284,409,12
285,46,6
286,34,22
287,190,21
288,235,12
289,174,12
290,36,12
291,134,12
292,336,3
293,434,15
294,322,3
295,4,15
296,203,12
297,377,2
298,266,5
299,165,3
