index,samples,labels
0,462,12
1,387,22
2,392,3
3,380,15
4,285,12
5,62,12
6,399,12
7,274,12
8,313,3
9,443,10
10,113,15
11,370,1
12,253,10
13,204,15
14,442,5
15,249,2
16,479,14
17,356,1
18,189,14
19,76,3
20,196,12
21,280,18
22,481,12
23,163,3
24,345,12
25,118,5
26,155,12
27,407,12
28,228,9
29,220,12
30,312,22
31,295,15
32,104,14
33,20,1
34,158,10
35,108,19
36,316,7
37,373,19
38,398,19
39,44,12
40,469,14
41,206,12
42,48,22
43,59,6
44,377,2
45,434,15
46,435,15
47,154,7
48,27,16
49,379,19
50,473,16
51,35,12
52,325,19
53,112,14
54,49,15
55,330,22
56,229,22
57,31,14
58,293,12
59,87,3
60,225,9
61,390,7
62,148,1
63,11,15
64,457,14
65,355,16
66,430,22
67,326,22
68,323,14
69,369,14
70,70,21
71,337,18
72,180,7
73,181,12
74,388,4
75,303,12
76,436,13
77,202,19
78,300,5
79,311,3
80,383,12
81,319,11
82,367,16
83,449,21
84,77,21
85,238,15
86,350,19
87,422,9
88,331,14
89,10,7
90,151,10
91,64,1
92,146,7
93,297,10
94,156,15
95,65,12
96,233,22
97,272,5
98,3,14
99,270,12
100,425,6
101,413,6
102,408,3
103,26,22
104,426,3
105,357,19
106,271,12
107,95,3
108,366,14
109,131,3
110,212,15
111,68,22
112,397,1
113,198,5
114,256,16
115,134,12
116,286,12
117,432,16
118,91,12
119,72,14
120,117,12
121,245,6
122,130,12
123,395,7
124,472,16
125,439,3
126,162,12
127,167,3
128,169,14
129,402,14
130,207,7
131,90,10
132,218,15
133,182,16
134,246,16
135,226,12
136,447,19
137,109,13
138,194,15
139,309,19
140,310,17
141,36,12
142,317,11
143,475,13
144,289,22
145,237,1
146,19,3
147,96,12
148,128,2
149,116,19
150,164,10
151,363,16
152,304,3
153,217,18
154,429,12
155,58,19
156,188,3
157,74,12
158,346,3
159,252,16
160,2,22
161,349,3
162,423,6
163,470,16
164,127,22
165,5,7
166,281,12
167,150,21
168,6,3
169,450,16
170,266,5
171,322,3
172,126,12
173,222,3
174,195,15
175,122,8
176,336,3
177,466,15
178,143,14
179,232,16
180,440,12
181,394,7
182,364,12
183,455,14
184,216,21
185,259,15
186,22,1
187,115,13
188,13,10
189,56,14
190,147,3
191,57,12
192,463,10
193,361,12
194,208,15
195,52,12
196,352,10
197,360,2
198,69,7
199,302,14
200,39,22
201,424,14
202,446,12
203,338,15
204,299,13
205,145,1
206,332,12
207,45,3
208,343,14
209,353,16
210,467,3
211,107,0
212,168,3
213,28,19
214,375,12
215,191,12
216,86,12
217,255,1
218,21,18
219,420,12
220,178,16
221,199,12
222,438,22
223,93,19
224,106,12
225,236,22
226,15,5
227,187,12
228,324,22
229,67,15
230,419,15
231,454,12
232,221,19
233,7,10
234,37,18
235,205,3
236,284,22
237,46,6
238,16,3
239,347,12
240,460,10
241,160,12
242,149,3
243,358,19
244,23,19
245,301,12
246,276,15
247,43,1
248,82,22
249,173,16
250,121,3
251,55,3
252,185,12
253,342,19
254,32,9
255,227,3
256,1,10
257,411,3
258,265,22
259,267,14
260,480,16
261,240,9
262,307,22
263,190,21
264,318,16
265,176,12
266,320,21
267,277,16
268,242,22
269,9,5
270,123,14
271,175,5
272,8,15
273,404,12
274,427,12
275,386,15
276,129,15
277,60,1
278,171,3
279,335,12
280,101,19
281,459,12
282,165,3
283,133,12
284,12,22
285,261,14
286,278,12
287,97,5
288,444,15
289,193,22
290,137,22
291,389,12
292,17,12
293,141,3
294,47,14
295,406,12
296,409,12
297,183,3
298,381,6
299,42,3
